name	region	choice	subregion	subregion abbr	code
World	-	-	-	-	900
Africa	-	-	-	-	903
Asia	-	-	-	-	935
Europe	-	-	-	-	908
Latin America and the Caribbean	-	-	-	-	904
Northern America	-	-	-	-	905
Oceania	-	-	-	-	909
Burundi	af	af	Eastern Africa	afe	108
Comoros	af	af	Eastern Africa	afe	174
Djibouti	af	af	Eastern Africa	afe	262
Eritrea	af	af	Eastern Africa	afe	232
Ethiopia	af	af	Eastern Africa	afe	231
Kenya	af	af	Eastern Africa	afe	404
Madagascar	af	af	Eastern Africa	afe	450
Malawi	af	af	Eastern Africa	afe	454
Mauritius	af	af	Eastern Africa	afe	480
Mayotte	af	af	Eastern Africa	afe	175
Mozambique	af	af	Eastern Africa	afe	508
Réunion	af	af	Eastern Africa	afe	638
Rwanda	af	af	Eastern Africa	afe	646
Seychelles	af	af	Eastern Africa	afe	690
Somalia	af	af	Eastern Africa	afe	706
South Sudan	af	af	Eastern Africa	afe	728
Uganda	af	af	Eastern Africa	afe	800
United Republic of Tanzania	af	af	Eastern Africa	afe	834
Zambia	af	af	Eastern Africa	afe	894
Zimbabwe	af	af	Eastern Africa	afe	716
Angola	af	af	Middle Africa	afm	24
Cameroon	af	af	Middle Africa	afm	120
Central African Republic	af	af	Middle Africa	afm	140
Chad	af	af	Middle Africa	afm	148
Congo	af	af	Middle Africa	afm	178
Democratic Republic of the Congo	af	af	Middle Africa	afm	180
Equatorial Guinea	af	af	Middle Africa	afm	226
Gabon	af	af	Middle Africa	afm	266
Sao Tome and Principe	af	af	Middle Africa	afm	678
Botswana	af	af	Southern Africa	afs	72
Eswatini	af	af	Southern Africa	afs	748
Lesotho	af	af	Southern Africa	afs	426
Namibia	af	af	Southern Africa	afs	516
South Africa	af	af	Southern Africa	afs	710
Benin	af	af	Western Africa	afw	204
Burkina Faso	af	af	Western Africa	afw	854
Cabo Verde	af	af	Western Africa	afw	132
Côte d'Ivoire	af	af	Western Africa	afw	384
Gambia	af	af	Western Africa	afw	270
Ghana	af	af	Western Africa	afw	288
Guinea	af	af	Western Africa	afw	324
Guinea-Bissau	af	af	Western Africa	afw	624
Liberia	af	af	Western Africa	afw	430
Mali	af	af	Western Africa	afw	466
Mauritania	af	af	Western Africa	afw	478
Niger	af	af	Western Africa	afw	562
Nigeria	af	af	Western Africa	afw	566
Saint Helena	af	af	Western Africa	afw	654
Senegal	af	af	Western Africa	afw	686
Sierra Leone	af	af	Western Africa	afw	694
Togo	af	af	Western Africa	afw	768
Algeria	af	af	Northern Africa	afn	12
Egypt	af	af	Northern Africa	afn	818
Libya	af	af	Northern Africa	afn	434
Morocco	af	af	Northern Africa	afn	504
Sudan	af	af	Northern Africa	afn	729
Tunisia	af	af	Northern Africa	afn	788
Western Sahara	af	af	Northern Africa	afn	732
Armenia	as	asw	Western Asia	asw	51
Azerbaijan	as	asw	Western Asia	asw	31
Bahrain	as	asw	Western Asia	asw	48
Cyprus	as	asw	Western Asia	asw	196
Georgia	as	asw	Western Asia	asw	268
Iraq	as	asw	Western Asia	asw	368
Israel	as	asw	Western Asia	asw	376
Jordan	as	asw	Western Asia	asw	400
Kuwait	as	asw	Western Asia	asw	414
Lebanon	as	asw	Western Asia	asw	422
Oman	as	asw	Western Asia	asw	512
Qatar	as	asw	Western Asia	asw	634
Saudi Arabia	as	asw	Western Asia	asw	682
State of Palestine	as	asw	Western Asia	asw	275
Syrian Arab Republic	as	asw	Western Asia	asw	760
Türkiye	as	asw	Western Asia	asw	792
United Arab Emirates	as	asw	Western Asia	asw	784
Yemen	as	asw	Western Asia	asw	887
Kazakhstan	as	asc	Central Asia	asc	398
Kyrgyzstan	as	asc	Central Asia	asc	417
Tajikistan	as	asc	Central Asia	asc	762
Turkmenistan	as	asc	Central Asia	asc	795
Uzbekistan	as	asc	Central Asia	asc	860
Afghanistan	as	ass	Southern Asia	ass	4
Bangladesh	as	ass	Southern Asia	ass	50
Bhutan	as	ass	Southern Asia	ass	64
India	as	ass	Southern Asia	ass	356
Iran (Islamic Republic of)	as	ass	Southern Asia	ass	364
Maldives	as	ass	Southern Asia	ass	462
Nepal	as	ass	Southern Asia	ass	524
Pakistan	as	ass	Southern Asia	ass	586
Sri Lanka	as	ass	Southern Asia	ass	144
China	as	ase	Eastern Asia	ase	156
China, Hong Kong SAR	as	ase	Eastern Asia	ase	344
China, Macao SAR	as	ase	Eastern Asia	ase	446
China, Taiwan Province of China	as	ase	Eastern Asia	ase	158
Dem. People's Republic of Korea	as	ase	Eastern Asia	ase	408
Japan	as	ase	Eastern Asia	ase	392
Mongolia	as	ase	Eastern Asia	ase	496
Republic of Korea	as	ase	Eastern Asia	ase	410
Brunei Darussalam	as	asse	South-Eastern Asia	asse	96
Cambodia	as	asse	South-Eastern Asia	asse	116
Indonesia	as	asse	South-Eastern Asia	asse	360
Lao People's Democratic Republic	as	asse	South-Eastern Asia	asse	418
Malaysia	as	asse	South-Eastern Asia	asse	458
Myanmar	as	asse	South-Eastern Asia	asse	104
Philippines	as	asse	South-Eastern Asia	asse	608
Singapore	as	asse	South-Eastern Asia	asse	702
Thailand	as	asse	South-Eastern Asia	asse	764
Timor-Leste	as	asse	South-Eastern Asia	asse	626
Viet Nam	as	asse	South-Eastern Asia	asse	704
Anguilla	na	na	Caribbean	car	660
Antigua and Barbuda	na	na	Caribbean	car	28
Aruba	na	na	Caribbean	car	533
Bahamas	na	na	Caribbean	car	44
Barbados	na	na	Caribbean	car	52
