,2019,2019_color,2020,2020_color,2021,2021_color
Чукотский автономный округ,68.09,#f9e600,65.82,#ffba00,64.87,#ff8201
Республика Тыва,67.57,#f9e600,66.25,#ffba00,66.87,#ffba00
Амурская область,68.66,#f9e600,67.38,#ffba00,66.3,#ffba00
Еврейская автономная область,68.08,#f9e600,67.5,#f9e600,66.12,#ffba00
Забайкальский край,68.88,#f9e600,68.23,#f9e600,66.82,#ffba00
Иркутская область,69.55,#f9e600,68.25,#f9e600,66.8,#ffba00
Кемеровская область - Кузбасс,69.78,#f9e600,68.51,#f9e600,67.61,#f9e600
Хабаровский край,70.05,#deff00,68.61,#f9e600,67.85,#f9e600
Магаданская область,69.66,#f9e600,69.04,#f9e600,67.41,#ffba00
Псковская область,70.65,#deff00,69.13,#f9e600,67.69,#f9e600
Республика Алтай,70.29,#deff00,69.15,#f9e600,67.86,#f9e600
Камчатский край,70.57,#deff00,69.27,#f9e600,68.09,#f9e600
Приморский край,70.54,#deff00,69.55,#f9e600,68.61,#f9e600
Новгородская область,70.52,#deff00,69.59,#f9e600,67.64,#f9e600
Пермский край,71.32,#deff00,69.59,#f9e600,68.52,#f9e600
Республика Карелия,71.46,#deff00,69.63,#f9e600,67.31,#ffba00
Сахалинская область,70.28,#deff00,69.73,#f9e600,68.42,#f9e600
Оренбургская область,72.04,#deff00,69.73,#f9e600,68.21,#f9e600
Тверская область,71.24,#deff00,69.76,#f9e600,67.87,#f9e600
Мурманская область,71.75,#deff00,69.81,#f9e600,68.29,#f9e600
Красноярский край,71.16,#deff00,69.82,#f9e600,68.34,#f9e600
Курганская область,71.14,#deff00,69.94,#f9e600,68.29,#f9e600
Владимирская область,71.87,#deff00,70.03,#deff00,68.11,#f9e600
Республика Хакасия,71.05,#deff00,70.06,#deff00,68.49,#f9e600
Орловская область,72.56,#9ad100,70.1,#deff00,68.97,#f9e600
Смоленская область,71.89,#deff00,70.1,#deff00,68.0,#f9e600
