"Category","Belgium","Brussels","Flanders","Wallonia"
"2000",77.79,77.94,78.49,76.5
"2001",78.09,78.03,78.89,76.67
"2002",78.17,78.06,78.95,76.81
"2003",78.32,78.11,79.15,76.9
"2004",78.97,78.87,79.77,77.54
"2005",79.05,79.04,79.88,77.57
"2006",79.38,79.12,80.23,77.91
"2007",79.53,79.58,80.38,77.99
"2008",79.59,79.43,80.47,78.04
"2009",79.84,79.65,80.66,78.4
"2010",80.05,79.9684,80.8936,78.5207
"2011",80.35,80.5709,81.1994,78.7339
"2012",80.26,79.9523,81.0979,78.7941
"2013",80.47,80.4183,81.2986,78.9687
"2014",81.07,80.9154,81.9662,79.4816
"2015",80.9,80.8598,81.7922,79.26
"2016",81.26,81.1959,82.1834,79.6014
"2017",81.36,81.1677,82.2321,79.826
"2018",81.48,81.53,82.3479,79.8667
"2019",81.83,81.5905,82.6994,80.2756
"2020",80.7881,79.61,81.9976,78.943
"2021",81.65,81.2756,82.6816,79.8717
"2022",81.6875,81.5818,82.6182,80.0154
"2023",82.2775,82.1767,83.1667,80.6443
"2024",82.3547,82.1498,84.0539,80.6988
