"Category","Belgium","Brussels","Flanders","Wallonia"
"2000",80.92,80.89,81.43,80.03
"2001",81.17,80.86,81.8,80.16
"2002",81.19,81,81.76,80.25
"2003",81.19,80.62,81.82,80.26
"2004",81.86,81.6,82.39,80.98
"2005",81.86,81.76,82.46,80.82
"2006",82.15,81.49,82.82,81.14
"2007",82.21,82.14,82.88,81.05
"2008",82.32,81.91,82.98,81.26
"2009",82.43,82.23,83.12,81.24
"2010",82.64,82.7274,83.2692,81.4845
"2011",82.85,82.4633,83.6235,81.6036
"2012",82.83,82.2397,83.4704,81.827
"2013",82.93,82.7876,83.6242,81.7093
"2014",83.5,83.4189,84.2625,82.1766
"2015",83.16,83.3641,83.9313,81.6973
"2016",83.68,83.8062,84.4338,82.3014
"2017",83.66,83.6081,84.3403,82.4644
"2018",83.69,83.6956,84.3892,82.416
"2019",84,83.8587,84.7046,82.7639
"2020",83.0482,82.1929,84.0361,81.5518
"2021",84.03,83.7168,84.9321,82.5068
"2022",83.7761,83.9094,84.5346,82.3738
"2023",84.3032,84.4125,85.0255,82.9433
