region	1990_total	1990_male	1990_female	2019_total	2019_male	2019_female	Δ_total	Δ_male	Δ_female
China	68.0	66.1	70.2	77.6	74.7	80.7	9.6	8.6	10.5
Beijing	73.6	71.4	76.2	82.7	79.6	85.9	9.1	8.2	9.7
Shanghai	74.5	72.4	76.6	82.7	80.3	85.0	8.2	7.9	8.4
Zhejiang	72.0	69.9	74.3	81.5	78.8	84.5	9.5	8.9	10.2
Guangdong	70.9	68.2	73.8	81.1	77.8	84.7	10.2	9.6	10.9
Jiangsu	71.9	69.5	74.4	80.8	77.9	83.8	8.9	8.4	9.4
Fujian	68.7	66.1	71.6	79.7	76.6	83.1	11.0	10.5	11.5
Tianjin	73.2	71.0	75.8	79.5	76.8	82.7	6.3	5.8	6.9
Shandong	70.5	68.3	72.8	78.7	75.7	81.9	8.2	7.4	9.1
Liaoning	71.0	68.6	73.8	77.2	73.8	81.0	6.2	5.2	7.2
Hainan	68.5	66.3	70.8	77.0	74.6	79.7	8.5	8.3	8.9
Hebei	70.0	68.0	72.3	75.7	72.6	79.1	5.7	4.6	6.8
Anhui	67.4	66.0	68.9	78.0	75.3	81.1	10.6	9.3	12.2
Jiangxi	63.4	61.4	65.5	77.6	74.8	80.6	14.2	13.4	15.1
Henan	69.0	66.7	71.3	77.5	74.4	80.7	8.5	7.7	9.4
Hubei	67.9	65.8	70.3	77.5	75.0	80.3	9.6	9.2	10.0
Jilin	67.0	64.3	70.4	77.1	75.8	78.4	10.1	11.5	8.0
Hunan	67.3	68.0	66.6	76.6	73.6	80.1	9.3	5.6	13.5
Shanxi	68.8	66.7	71.3	76.4	73.9	79.3	7.6	7.2	8.0
Heilongjiang	67.3	65.3	69.8	75.5	72.5	79.0	8.2	7.2	9.2
Shaanxi	65.0	63.3	67.1	76.7	74.4	79.4	11.7	11.1	12.3
Chongqing	65.8	63.4	68.8	76.5	73.8	79.5	10.7	10.4	10.7
Inner Mongolia	66.9	65.1	69.3	76.3	73.5	79.7	9.4	8.4	10.4
Gansu	66.0	63.7	68.6	76.1	73.6	78.9	10.1	9.9	10.3
Guangxi	68.3	66.0	70.9	76.1	72.6	80.2	7.8	6.6	9.3
Ningxia	65.2	63.3	67.5	75.9	73.4	78.6	10.7	10.1	11.1
Sichuan	66.1	64.3	68.1	75.5	72.5	79.0	9.4	8.2	10.9
Guizhou	61.8	60.0	63.9	74.8	72.1	77.8	13.0	12.1	13.9
Yunnan	62.6	60.3	65.2	74.2	71.1	77.9	11.6	10.8	12.7
Qinghai	62.5	60.6	64.7	72.1	70.1	74.4	9.6	9.5	9.7
Xinjiang	60.6	59.0	62.6	71.9	70.0	74.2	11.3	11.0	11.6
Tibet	54.9	52.2	57.8	70.1	67.6	72.9	15.2	15.4	15.1
