"12an -- Life expectancy at birth by sex and region, 1990-1992 -- 2022-2024"

"Year"	"Region"	"Total Life expectancy at birth, years"	"Males Life expectancy at birth, years"	"Females Life expectancy at birth, years"
"1990-1992"	"WHOLE COUNTRY"	75.34	71.31	79.20
"1990-1992"	"MA1 MAINLAND FINLAND"	75.32	71.29	79.19
"1990-1992"	"MK01 Uusimaa"	75.36	71.34	78.91
"1990-1992"	"MK02 Southwest Finland"	76.04	72.28	79.52
"1990-1992"	"MK04 Satakunta"	75.91	71.98	79.67
"1990-1992"	"MK05 Kanta-Häme"	75.92	71.60	80.06
"1990-1992"	"MK06 Pirkanmaa"	75.70	71.60	79.51
"1990-1992"	"MK07 Päijät-Häme"	74.82	70.61	78.81
"1990-1992"	"MK08 Kymenlaakso"	74.59	70.54	78.63
"1990-1992"	"MK09 South Karelia"	74.72	70.48	79.00
"1990-1992"	"MK10 South Savo"	74.31	70.21	78.44
"1990-1992"	"MK11 North Savo"	74.96	70.59	79.35
"1990-1992"	"MK12 North Karelia"	74.40	70.31	78.68
"1990-1992"	"MK13 Central Finland"	75.07	71.23	78.92
"1990-1992"	"MK14 South Ostrobothnia"	75.60	71.81	79.32
"1990-1992"	"MK15 Ostrobothnia"	77.73	74.43	80.74
"1990-1992"	"MK16 Central Ostrobothnia"	76.71	72.73	80.60
"1990-1992"	"MK17 North Ostrobothnia"	75.07	71.10	79.15
"1990-1992"	"MK18 Kainuu"	74.09	69.88	78.69
"1990-1992"	"MK19 Lapland"	74.08	69.83	78.74
"1990-1992"	"MA2 ÅLAND"	77.92	73.93	82.06
"1990-1992"	"MK21 Åland"	77.92	73.93	82.06
"1991-1993"	"WHOLE COUNTRY"	75.63	71.70	79.40
"1991-1993"	"MA1 MAINLAND FINLAND"	75.62	71.69	79.39
"1991-1993"	"MK01 Uusimaa"	75.78	71.87	79.21
"1991-1993"	"MK02 Southwest Finland"	76.35	72.63	79.78
"1991-1993"	"MK04 Satakunta"	76.09	72.26	79.71
"1991-1993"	"MK05 Kanta-Häme"	76.29	72.20	80.14
"1991-1993"	"MK06 Pirkanmaa"	75.92	72.02	79.55
"1991-1993"	"MK07 Päijät-Häme"	75.23	71.03	79.17
"1991-1993"	"MK08 Kymenlaakso"	74.83	70.78	78.87
"1991-1993"	"MK09 South Karelia"	74.92	70.69	79.24
"1991-1993"	"MK10 South Savo"	74.52	70.63	78.38
"1991-1993"	"MK11 North Savo"	75.17	70.93	79.46
"1991-1993"	"MK12 North Karelia"	74.72	70.54	79.11
"1991-1993"	"MK13 Central Finland"	75.39	71.42	79.39
"1991-1993"	"MK14 South Ostrobothnia"	75.55	71.84	79.21
"1991-1993"	"MK15 Ostrobothnia"	77.98	74.77	80.92
"1991-1993"	"MK16 Central Ostrobothnia"	77.24	73.32	81.03
"1991-1993"	"MK17 North Ostrobothnia"	75.36	71.58	79.20
"1991-1993"	"MK18 Kainuu"	74.35	70.26	78.80
"1991-1993"	"MK19 Lapland"	74.42	70.38	78.78
"1991-1993"	"MA2 ÅLAND"	77.97	74.14	81.97
"1991-1993"	"MK21 Åland"	77.97	74.14	81.97
"1992-1994"	"WHOLE COUNTRY"	76.02	72.18	79.68
"1992-1994"	"MA1 MAINLAND FINLAND"	76.01	72.17	79.67
"1992-1994"	"MK01 Uusimaa"	76.31	72.52	79.61
"1992-1994"	"MK02 Southwest Finland"	76.71	72.98	80.13
"1992-1994"	"MK04 Satakunta"	76.55	72.62	80.32
"1992-1994"	"MK05 Kanta-Häme"	76.57	72.54	80.35
"1992-1994"	"MK06 Pirkanmaa"	76.12	72.27	79.68
"1992-1994"	"MK07 Päijät-Häme"	75.42	71.43	79.10
"1992-1994"	"MK08 Kymenlaakso"	75.34	71.39	79.24
"1992-1994"	"MK09 South Karelia"	75.57	71.48	79.69
"1992-1994"	"MK10 South Savo"	75.27	71.64	78.80
"1992-1994"	"MK11 North Savo"	75.29	71.19	79.43
"1992-1994"	"MK12 North Karelia"	74.68	70.60	78.98
"1992-1994"	"MK13 Central Finland"	75.66	71.80	79.53
"1992-1994"	"MK14 South Ostrobothnia"	76.26	72.61	79.84
"1992-1994"	"MK15 Ostrobothnia"	78.22	75.00	81.17
"1992-1994"	"MK16 Central Ostrobothnia"	77.58	73.58	81.44
"1992-1994"	"MK17 North Ostrobothnia"	75.82	72.09	79.57
"1992-1994"	"MK18 Kainuu"	74.72	70.77	79.03
"1992-1994"	"MK19 Lapland"	74.68	70.91	78.69
"1992-1994"	"MA2 ÅLAND"	78.20	74.69	81.85
"1992-1994"	"MK21 Åland"	78.20	74.69	81.85
"1993-1995"	"WHOLE COUNTRY"	76.34	72.56	79.93
"1993-1995"	"MA1 MAINLAND FINLAND"	76.33	72.55	79.93
"1993-1995"	"MK01 Uusimaa"	76.69	72.92	79.99
"1993-1995"	"MK02 Southwest Finland"	76.83	72.96	80.45
"1993-1995"	"MK04 Satakunta"	76.84	72.89	80.65
"1993-1995"	"MK05 Kanta-Häme"	76.54	72.27	80.66
"1993-1995"	"MK06 Pirkanmaa"	76.48	72.70	79.97
"1993-1995"	"MK07 Päijät-Häme"	75.76	71.57	79.71
"1993-1995"	"MK08 Kymenlaakso"	75.75	71.82	79.65
"1993-1995"	"MK09 South Karelia"	75.84	71.92	79.82
"1993-1995"	"MK10 South Savo"	75.81	72.23	79.29
"1993-1995"	"MK11 North Savo"	75.42	71.59	79.27
"1993-1995"	"MK12 North Karelia"	74.96	71.00	79.11
"1993-1995"	"MK13 Central Finland"	76.03	72.27	79.76
"1993-1995"	"MK14 South Ostrobothnia"	76.60	73.04	80.07
"1993-1995"	"MK15 Ostrobothnia"	78.32	75.24	81.16
"1993-1995"	"MK16 Central Ostrobothnia"	77.97	74.84	80.80
"1993-1995"	"MK17 North Ostrobothnia"	76.26	72.85	79.60
"1993-1995"	"MK18 Kainuu"	75.14	71.48	79.07
"1993-1995"	"MK19 Lapland"	75.13	71.33	79.15
"1993-1995"	"MA2 ÅLAND"	78.41	75.05	81.85
"1993-1995"	"MK21 Åland"	78.41	75.05	81.85
"1994-1996"	"WHOLE COUNTRY"	76.67	72.87	80.29
"1994-1996"	"MA1 MAINLAND FINLAND"	76.66	72.86	80.28
"1994-1996"	"MK01 Uusimaa"	77.03	73.28	80.31
"1994-1996"	"MK02 Southwest Finland"	77.18	73.38	80.72
"1994-1996"	"MK04 Satakunta"	76.89	72.87	80.84
"1994-1996"	"MK05 Kanta-Häme"	76.73	72.50	80.86
"1994-1996"	"MK06 Pirkanmaa"	76.78	72.98	80.30
"1994-1996"	"MK07 Päijät-Häme"	75.95	71.75	79.92
"1994-1996"	"MK08 Kymenlaakso"	75.92	71.93	79.93
"1994-1996"	"MK09 South Karelia"	76.08	72.07	80.16
"1994-1996"	"MK10 South Savo"	76.30	72.51	80.03
"1994-1996"	"MK11 North Savo"	75.75	72.02	79.47
"1994-1996"	"MK12 North Karelia"	75.22	71.29	79.33
"1994-1996"	"MK13 Central Finland"	76.48	72.82	80.10
"1994-1996"	"MK14 South Ostrobothnia"	77.11	73.56	80.56
"1994-1996"	"MK15 Ostrobothnia"	78.79	75.91	81.41
"1994-1996"	"MK16 Central Ostrobothnia"	78.09	74.97	80.90
"1994-1996"	"MK17 North Ostrobothnia"	76.66	72.98	80.30
"1994-1996"	"MK18 Kainuu"	75.33	71.16	79.79
"1994-1996"	"MK19 Lapland"	75.61	71.71	79.78
