Länder	0	1	20	40	60	65	80
Baden-Württemberg	79.64	78.87	60.06	40.58	22.37	18.38	8.22
Bayern	78.94	78.18	59.40	40.00	21.86	17.89	7.90
Berlin	78.08	77.32	58.50	39.07	21.24	17.48	8.21
Brandenburg	77.17	76.45	57.65	38.35	20.75	17.10	7.79
Bremen	76.74	76.04	57.27	38.00	20.72	17.13	7.98
Hamburg	78.14	77.41	58.67	39.18	21.25	17.47	8.10
Hessen	78.63	77.92	59.16	39.73	21.65	17.74	7.91
Mecklenburg-Vorpommern	76.24	75.44	56.73	37.58	20.28	16.72	7.48
Niedersachsen	77.77	77.06	58.28	38.98	21.16	17.37	7.77
Nordrhein-Westfalen	77.91	77.18	58.38	38.97	21.10	17.26	7.78
Rheinland-Pfalz	78.34	77.62	58.81	39.40	21.43	17.54	7.75
Saarland	77.09	76.35	57.65	38.31	20.67	16.89	7.60
Sachsen	77.41	76.61	57.79	38.46	20.90	17.27	8.02
Sachsen-Anhalt	75.49	74.77	56.04	36.95	19.81	16.32	7.41
Schleswig-Holstein	78.25	77.50	58.67	39.28	21.37	17.54	7.91
Thüringen	76.76	76.03	57.28	37.99	20.51	16.86	7.56
Germany	78.17	77.42	58.63	39.24	21.34	17.50	7.88
