Länder	0	1	20	40	60	65	80
Baden-Württemberg	84.13	83.38	64.53	44.82	25.93	21.53	9.79
Bayern	83.74	82.96	64,11	44.40	25.56	21.17	9.58
Berlin	83.29	82.52	63.68	43.98	25.27	21.06	9.97
Brandenburg	83.42	82.66	63.80	44.15	25.42	21.14	9.60
Bremen	82.06	81.43	62.67	43.07	24.63	20.54	9.75
Hamburg	83.10	82.37	63.52	43.80	25.05	20.76	9.78
Hessen	83.28	82.52	63.68	43.99	25.20	20.88	9.52
Mecklenburg-Vorpommern	82.78	82.04	63.23	43.61	25.09	20.84	9.49
Niedersachsen	82.63	81.89	63.07	43.45	24.82	20.59	9.42
Nordrhein-Westfalen	82.58	81.86	63.02	43.35	24.69	20.46	9.47
Rheinland-Pfalz	83.03	82.25	63.42	43.75	25.00	20.71	9.44
Saarland	81.97	81.29	62.43	42.76	24.31	20.16	9.25
Sachsen	84.02	83.19	64.34	44.66	25.93	21.61	9.85
Sachsen-Anhalt	82.27	81.55	62.74	43.19	24.79	20.60	9.37
Schleswig-Holstein	82.76	81.97	63.14	43.50	24.83	20.61	9.49
Thüringen	83.14	82.43	63.60	44.01	25.37	21.10	9.52
Germany	83.19	82.44	63.60	43.92	25.19	20.91	9.57
