state	total	male	female	rural_total	rural_male	rural_female	urban_total	urban_male	urban_female
India	69.7	68.4	71.1	68.3	66.9	69.7	73.0	71.8	74.2
Andhra Pradesh	70.3	68.9	71.8	69.4	67.7	71.2	72.7	71.8	73.5
Assam	67.5	66.8	68.3	66.2	65.6	67.0	74.1	73.3	74.9
Bihar	69.2	69.6	68.8	68.8	69.2	68.4	72.0	72.5	71.4
Chhattisgarh	65.3	63.7	66.9	64.4	62.8	66.0	68.3	67.0	69.8
Delhi	75.9	74.3	77.5	73.6	71.3	75.6	75.9	74.4	77.6
Gujarat	70.2	67.9	72.8	68.9	65.7	72.5	72.0	70.8	73.2
Haryana	69.9	67.7	72.6	68.6	66.3	71.4	72.4	70.1	75.0
Himachal Pradesh	73.1	69.9	77.1	72.8	69.4	76.8	77.8	74.9	82.3
Jammu & Kashmir	74.2	72.6	76.1	72.8	71.2	74.6	77.6	75.7	79.6
Jharkhand	69.4	70.2	68.8	68.6	69.6	67.7	72.2	71.8	72.6
Karnataka	69.5	67.9	71.3	67.9	66.0	70.0	72.8	71.7	73.9
Kerala	75.2	72.3	78.0	75.2	72.4	78.1	75.1	72.1	78.0
Madhya Pradesh	67.0	65.2	69.1	65.9	63.8	68.1	70.7	69.4	72.2
Maharashtra	72.7	71.6	74.0	71.4	70.2	72.5	74.5	73.2	76.0
Odisha	69.8	68.5	71.1	69.3	68.0	70.7	72.2	71.3	73.1
Punjab	72.8	71.1	74.7	71.3	69.7	73.3	75.4	73.0	78.6
Rajasthan	69.0	66.8	71.3	67.9	65.4	70.6	72.6	71.8	73.3
Tamil Nadu	72.6	70.6	74.9	70.4	68.3	72.7	74.9	73.0	77.1
Telangana	69.8	68.6	71.1	68.3	66.6	70.1	71.9	71.7	72.1
Uttar Pradesh	65.6	65.0	66.2	64.6	63.8	65.3	68.9	68.8	69.0
Uttarakhand	70.6	67.6	73.9	70.4	67.1	73.9	71.0	68.7	73.7
West Bengal	72.1	71.0	73.2	70.9	69.5	72.2	74.3	73.6	75.1
