Japan, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.69	49.93	51.78
1948	58.71	55.13	56.92
1949	59.50	56.02	57.76
1950	60.90	57.58	59.24
1951	62.59	59.29	60.95
1952	64.67	61.26	62.97
1953	65.07	61.55	63.30
1954	66.56	62.47	64.51
1955	67.76	63.62	65.68
1956	67.65	63.42	65.52
1957	67.60	63.25	65.39
1958	69.30	64.75	67.00
1959	69.78	65.11	67.42
1960	70.13	65.30	67.68
1961	70.82	65.91	68.34
1962	71.13	66.20	68.63
1963	72.27	67.19	69.71
1964	72.75	67.63	70.16
1965	72.85	67.68	70.23
1966	73.64	68.44	71.02
1967	73.98	68.78	71.37
1968	74.28	69.05	71.65
1969	74.62	69.21	71.90
1970	74.67	69.32	71.98
1971	75.47	70.13	72.81
1972	75.93	70.53	73.24
1973	76.02	70.76	73.41
1974	76.36	71.25	73.84
1975	76.87	71.75	74.35
1976	77.28	72.13	74.75
1977	77.86	72.67	75.32
1978	78.22	72.96	75.65
1979	78.76	73.43	76.16
1980	78.76	73.39	76.13
1981	79.16	73.81	76.55
1982	79.72	74.26	77.06
1983	79.82	74.24	77.10
1984	80.26	74.60	77.50
1985	80.53	74.89	77.79
1986	80.97	75.27	78.20
1987	81.43	75.65	78.63
1988	81.32	75.58	78.54
1989	81.80	75.97	78.98
1990	81.86	75.94	78.99
1991	82.17	76.15	79.25
1992	82.29	76.13	79.29
1993	82.44	76.26	79.44
1994	82.89	76.58	79.83
1995	82.77	76.41	79.67
1996	83.49	77.02	80.35
1997	83.73	77.24	80.58
1998	83.92	77.21	80.65
1999	83.91	77.17	80.62
2000	84.53	77.69	81.20
2001	84.85	78.02	81.53
2002	85.15	78.29	81.81
2003	85.25	78.33	81.88
2004	85.50	78.61	82.15
2005	85.42	78.50	82.04
2006	85.70	78.92	82.40
2007	85.88	79.11	82.58
2008	85.96	79.21	82.67
2009	86.33	79.52	83.01
2010	86.24	79.51	82.95
2011	85.86	79.41	82.71
2012	86.36	79.91	83.21
2013	86.56	80.17	83.43
2014	86.77	80.46	83.68
2015	86.97	80.72	83.92
2016	87.12	80.94	84.10
2017	87.26	81.06	84.22
2018	87.31	81.22	84.32
2019	87.44	81.37	84.46
2020	87.73	81.58	84.71
2021	87.60	81.49	84.58
2022	87.11	81.06	84.10
2023	87.16	81.10	84.14
