01.Hokkaido, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	54.69	51.34	52.91
1948	57.41	54.68	55.98
1949	57.90	55.24	56.51
1950	60.81	57.79	59.22
1951	62.12	58.95	60.45
1952	65.03	61.57	63.21
1953	65.31	61.76	63.44
1954	66.79	62.20	64.37
1955	67.51	63.32	65.29
1956	68.03	63.83	65.81
1957	67.65	63.42	65.40
1958	69.30	64.98	67.02
1959	69.78	64.97	67.23
1960	70.14	65.26	67.56
1961	70.79	65.95	68.24
1962	71.16	66.08	68.47
1963	72.28	67.25	69.64
1964	72.38	67.39	69.76
1965	72.57	67.13	69.70
1966	73.14	67.71	70.29
1967	73.53	68.32	70.80
1968	73.95	68.51	71.11
1969	74.06	68.48	71.15
1970	74.21	68.87	71.45
1971	75.01	69.59	72.21
1972	75.48	69.98	72.65
1973	75.46	70.15	72.74
1974	76.11	70.88	73.44
1975	76.34	71.25	73.76
1976	77.12	71.94	74.50
1977	77.42	72.40	74.89
1978	77.83	72.48	75.13
1979	78.37	72.69	75.50
1980	78.18	72.89	75.51
1981	78.68	73.11	75.87
1982	79.12	73.69	76.40
1983	79.30	73.57	76.43
1984	79.93	74.13	77.04
1985	79.87	74.33	77.12
1986	80.77	74.82	77.80
1987	81.24	75.26	78.27
1988	80.95	75.28	78.16
1989	81.40	75.39	78.42
1990	81.57	75.59	78.62
1991	82.12	75.85	79.02
1992	82.10	75.83	79.01
1993	82.15	75.91	79.07
1994	82.94	76.35	79.69
1995	82.98	76.32	79.70
1996	83.37	76.73	80.11
1997	83.72	77.05	80.45
1998	84.03	77.14	80.65
1999	83.86	76.98	80.49
2000	84.67	77.40	81.11
2001	84.95	77.86	81.50
2002	85.25	78.13	81.79
2003	85.15	78.22	81.79
2004	85.45	78.14	81.89
2005	85.40	77.96	81.76
2006	85.48	78.39	82.04
2007	85.84	78.53	82.28
2008	85.80	78.74	82.37
2009	86.17	79.08	82.73
2010	86.15	79.05	82.70
2011	86.06	79.38	82.83
2012	86.36	79.39	82.98
2013	86.28	79.84	83.19
2014	86.52	80.05	83.42
2015	86.69	80.29	83.63
2016	86.83	80.29	83.69
2017	86.97	80.73	83.99
2018	87.01	80.67	83.98
2019	87.04	80.82	84.07
2020	87.28	81.09	84.32
2021	86.91	80.81	83.98
2022	86.50	80.44	83.57
2023	86.47	80.57	83.62
