02.Aomori.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.71	48.14	49.41
1948	52.06	50.39	51.23
1949	54.85	52.43	53.63
1950	55.61	53.03	54.31
1951	57.72	55.26	56.48
1952	61.60	57.76	59.65
1953	62.08	58.52	60.28
1954	63.32	58.99	61.11
1955	65.26	60.75	62.97
1956	64.62	60.04	62.28
1957	65.11	60.20	62.59
1958	66.73	61.46	64.05
1959	67.05	61.50	64.21
1960	67.84	62.28	65.01
1961	68.75	62.98	65.82
1962	69.18	63.16	66.11
1963	71.03	64.53	67.71
1964	71.40	64.89	68.10
1965	71.37	65.17	68.25
1966	72.12	65.79	68.92
1967	72.67	66.25	69.45
1968	73.29	66.46	69.82
1969	73.88	67.12	70.49
1970	73.97	67.33	70.63
1971	75.09	68.00	71.55
1972	75.26	68.35	71.81
1973	75.48	68.33	71.92
1974	75.88	69.06	72.50
1975	76.37	69.74	73.09
1976	76.74	69.91	73.37
1977	77.45	70.36	73.94
1978	77.29	70.46	73.91
1979	78.04	71.10	74.63
1980	78.15	71.19	74.72
1981	78.59	71.82	75.28
1982	78.96	72.17	75.65
1983	79.15	72.16	75.72
1984	79.11	72.50	75.89
1985	79.76	72.83	76.38
1986	80.40	73.79	77.19
1987	80.93	73.85	77.50
1988	80.76	73.77	77.38
1989	80.78	74.16	77.60
1990	81.60	74.17	77.98
1991	81.74	74.21	78.07
1992	81.84	74.26	78.16
1993	81.59	74.21	78.00
1994	82.41	74.60	78.61
1995	82.15	74.59	78.48
1996	82.45	74.83	78.75
1997	82.65	75.33	79.13
1998	83.18	75.16	79.28
1999	82.60	75.51	79.19
2000	83.66	75.61	79.74
2001	83.85	75.80	79.95
2002	84.11	76.14	80.25
2003	84.26	75.96	80.22
2004	84.36	75.93	80.23
2005	84.51	75.98	80.32
2006	84.76	76.81	80.89
2007	85.04	76.91	81.09
2008	85.03	77.07	81.17
2009	85.55	77.07	81.41
2010	85.22	77.21	81.33
2011	85.33	77.55	81.55
2012	84.99	77.77	81.50
2013	85.44	78.16	81.91
2014	85.77	78.12	82.05
2015	85.74	78.80	82.41
2016	86.04	78.99	82.65
2017	86.26	78.99	82.74
2018	86.21	79.20	82.81
2019	86.09	78.94	82.60
2020	86.58	79.43	83.09
2021	86.33	79.42	82.96
2022	85.89	79.32	82.69
2023	85.55	78.78	82.22
