03.Iwate.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.84	48.76	49.80
1948	51.78	50.81	51.30
1949	54.36	52.41	53.39
1950	55.51	54.07	54.79
1951	57.54	55.49	56.51
1952	61.03	58.62	59.81
1953	61.82	59.12	60.46
1954	63.50	59.99	61.73
1955	64.50	61.03	62.75
1956	64.65	60.92	62.76
1957	64.82	60.82	62.79
1958	66.92	62.55	64.71
1959	67.11	62.52	64.77
1960	67.75	63.22	65.45
1961	68.90	63.79	66.30
1962	68.79	63.96	66.34
1963	70.80	65.61	68.17
1964	71.17	65.57	68.31
1965	71.08	65.94	68.50
1966	72.33	66.24	69.25
1967	72.36	67.46	69.92
1968	73.18	67.60	70.39
1969	73.42	67.45	70.42
1970	73.58	67.70	70.63
1971	74.39	68.23	71.32
1972	75.33	68.87	72.10
1973	74.62	69.08	71.87
1974	75.52	69.57	72.56
1975	75.99	70.24	73.15
1976	76.58	70.74	73.71
1977	77.51	71.29	74.44
1978	77.72	72.09	74.95
1979	78.11	72.69	75.47
1980	78.26	72.43	75.41
1981	79.07	73.01	76.10
1982	79.45	73.78	76.70
1983	79.63	73.45	76.61
1984	80.28	73.72	77.06
1985	80.55	74.53	77.63
1986	80.81	74.52	77.76
1987	81.27	75.14	78.32
1988	81.13	75.11	78.23
1989	81.59	75.31	78.55
1990	82.10	75.54	78.92
1991	81.83	75.42	78.74
1992	82.09	75.69	79.01
1993	82.83	75.36	79.17
1994	83.11	76.06	79.70
1995	82.96	76.34	79.78
1996	83.67	76.57	80.23
1997	83.73	76.77	80.37
1998	84.00	76.58	80.39
1999	83.74	76.29	80.09
2000	84.66	77.46	81.19
2001	84.61	77.43	81.13
2002	85.05	77.48	81.37
2003	85.32	77.23	81.34
2004	85.44	77.51	81.55
2005	85.17	77.46	81.38
2006	85.29	78.20	81.85
2007	85.57	78.28	82.03
2008	85.85	78.04	82.02
2009	85.78	78.22	82.08
2010	85.71	78.45	82.17
2011	77.98	72.30	75.17
2012	86.14	78.89	82.59
2013	86.77	79.13	83.01
2014	86.26	79.62	83.03
2015	86.45	79.74	83.18
2016	86.40	80.02	83.29
2017	86.74	79.85	83.35
2018	86.75	79.97	83.41
2019	86.77	80.14	83.50
2020	87.18	80.89	84.12
2021	87.29	80.93	84.16
2022	86.31	80.01	83.18
2023	86.77	79.68	83.19
