04.Miyagi.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	54.26	50.17	52.19
1948	57.72	54.38	56.06
1949	59.09	55.84	57.47
1950	60.04	57.58	58.82
1951	61.94	58.82	60.39
1952	65.05	61.51	63.29
1953	64.89	61.42	63.15
1954	66.59	62.28	64.43
1955	67.64	63.49	65.55
1956	67.77	63.57	65.65
1957	67.72	63.04	65.35
1958	69.18	64.54	66.84
1959	70.32	65.61	67.95
1960	70.44	65.27	67.81
1961	71.33	65.76	68.49
1962	71.68	66.30	68.93
1963	72.50	66.97	69.71
1964	72.64	66.99	69.77
1965	72.79	67.18	69.93
1966	73.87	67.74	70.76
1967	73.76	68.30	71.01
1968	74.43	68.76	71.60
1969	74.62	68.83	71.71
1970	74.78	69.23	72.00
1971	75.62	69.84	72.74
1972	76.06	70.17	73.11
1973	76.28	70.63	73.45
1974	76.37	70.68	73.54
1975	76.79	71.75	74.32
1976	77.35	71.85	74.63
1977	77.51	72.33	74.96
1978	78.02	72.91	75.53
1979	78.84	73.17	76.05
1980	78.57	73.37	76.03
1981	78.91	73.63	76.34
1982	79.60	74.39	77.08
1983	79.77	74.45	77.19
1984	80.19	74.65	77.49
1985	80.74	75.06	77.97
1986	80.84	75.55	78.28
1987	81.35	75.91	78.72
1988	81.51	75.49	78.58
1989	81.87	76.30	79.18
1990	82.10	76.00	79.13
1991	82.17	76.57	79.46
1992	82.56	76.22	79.46
1993	82.65	76.76	79.80
1994	83.05	76.86	80.04
1995	82.85	76.91	79.97
1996	83.67	77.14	80.49
1997	83.95	77.28	80.70
1998	84.26	77.29	80.85
1999	84.01	77.01	80.57
2000	84.63	77.83	81.31
2001	85.08	78.07	81.66
2002	85.31	78.28	81.88
2003	85.38	78.34	81.94
2004	85.57	78.55	82.15
2005	85.43	78.34	81.95
2006	85.63	78.78	82.29
2007	85.88	78.95	82.49
2008	86.01	79.27	82.72
2009	86.30	79.68	83.08
2010	86.27	79.59	83.00
2011	76.73	72.22	74.51
2012	86.43	80.25	83.43
2013	86.73	80.68	83.80
2014	86.72	80.63	83.76
2015	87.21	80.91	84.12
2016	87.19	81.05	84.19
2017	87.36	81.34	84.42
2018	87.31	81.26	84.34
2019	87.40	81.32	84.41
2020	87.70	81.90	84.86
2021	87.43	81.92	84.74
2022	87.15	81.22	84.20
2023	87.13	81.08	84.10
