05.Akita.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	49.15	46.37	47.74
1948	52.01	49.26	50.62
1949	54.39	51.40	52.88
1950	56.15	53.76	54.93
1951	57.97	54.64	56.25
1952	60.63	57.14	58.85
1953	62.49	58.51	60.46
1954	63.42	58.99	61.16
1955	64.34	60.11	62.19
1956	65.29	60.08	62.62
1957	65.73	60.67	63.15
1958	67.18	61.78	64.45
1959	67.58	62.06	64.77
1960	68.24	62.47	65.27
1961	68.44	62.44	65.38
1962	69.01	63.29	66.09
1963	70.18	64.28	67.21
1964	70.40	65.18	67.79
1965	71.09	65.17	68.10
1966	72.06	65.89	68.96
1967	72.66	66.46	69.56
1968	72.75	66.61	69.68
1969	72.99	67.10	70.06
1970	73.69	67.06	70.39
1971	74.52	67.83	71.21
1972	75.09	68.50	71.84
1973	74.62	68.41	71.56
1974	74.86	69.23	72.10
1975	75.86	70.27	73.13
1976	76.34	70.65	73.57
1977	77.22	70.88	74.11
1978	77.26	71.38	74.39
1979	78.16	72.48	75.39
1980	78.28	72.07	75.25
1981	79.13	72.78	76.03
1982	79.21	73.62	76.51
1983	79.27	73.26	76.36
1984	79.83	73.71	76.87
1985	80.17	74.15	77.27
1986	80.42	74.43	77.54
1987	80.66	74.72	77.81
1988	80.66	74.42	77.65
1989	81.30	75.50	78.53
1990	81.66	75.30	78.60
1991	82.11	75.01	78.66
1992	82.02	75.38	78.82
1993	82.34	75.48	79.02
1994	82.84	75.54	79.29
1995	82.71	76.01	79.49
1996	83.21	76.09	79.76
1997	83.38	76.20	79.91
1998	83.62	76.53	80.20
1999	83.46	76.28	79.98
2000	84.25	76.74	80.61
2001	84.57	77.19	81.01
2002	84.78	76.88	80.93
2003	84.60	77.01	80.92
2004	85.03	77.28	81.27
2005	84.94	77.51	81.35
2006	85.06	77.33	81.30
2007	85.32	77.68	81.60
2008	85.50	78.23	82.00
2009	85.66	78.18	82.04
2010	85.83	78.18	82.11
2011	85.69	78.35	82.14
2012	85.91	79.01	82.59
2013	86.18	78.84	82.62
2014	86.19	79.22	82.83
2015	86.58	79.57	83.19
2016	86.26	79.70	83.11
2017	86.57	79.71	83.23
2018	86.87	80.02	83.54
2019	86.77	80.49	83.75
2020	87.41	80.46	84.03
2021	87.22	80.59	83.98
2022	86.72	80.02	83.43
2023	86.45	79.92	83.23
