06.Yamagata.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.24	47.10	48.66
1948	53.90	51.70	52.81
1949	55.46	52.64	54.07
1950	59.06	55.62	57.34
1951	59.60	56.69	58.16
1952	62.51	58.58	60.55
1953	63.54	59.76	61.66
1954	64.06	60.45	62.29
1955	66.10	61.28	63.70
1956	65.75	61.32	63.55
1957	66.38	61.73	64.05
1958	67.67	63.06	65.38
1959	68.22	62.97	65.59
1960	69.31	63.52	66.41
1961	69.30	63.77	66.53
1962	69.78	64.18	66.97
1963	71.30	65.86	68.62
1964	71.26	66.26	68.79
1965	71.87	66.43	69.15
1966	72.55	66.93	69.77
1967	72.85	67.40	70.13
1968	73.32	67.86	70.63
1969	73.69	68.13	70.95
1970	73.74	68.21	71.01
1971	74.82	69.05	71.97
1972	75.68	69.40	72.57
1973	75.65	69.89	72.84
1974	75.43	70.24	72.91
1975	76.51	71.08	73.88
1976	76.62	71.33	74.08
1977	77.59	71.90	74.84
1978	77.97	72.48	75.32
1979	78.34	73.01	75.78
1980	78.40	72.66	75.62
1981	78.80	73.55	76.29
1982	79.47	73.80	76.74
1983	79.53	73.92	76.83
1984	80.46	74.46	77.57
1985	80.47	74.95	77.83
1986	81.25	75.47	78.49
1987	81.79	75.75	78.90
1988	81.66	75.63	78.77
1989	81.86	76.40	79.28
1990	82.08	76.28	79.31
1991	82.07	76.36	79.35
1992	82.27	76.38	79.45
1993	82.61	76.69	79.78
1994	82.74	76.81	79.91
1995	83.31	76.73	80.13
1996	83.32	77.29	80.44
1997	83.66	77.48	80.69
1998	83.88	77.69	80.91
1999	83.74	77.33	80.64
2000	84.52	77.79	81.24
2001	85.06	77.74	81.48
2002	85.15	78.41	81.89
2003	85.22	78.60	82.02
2004	85.57	78.58	82.17
2005	85.37	78.46	82.01
2006	85.69	78.41	82.13
2007	86.15	79.01	82.66
2008	85.94	79.26	82.69
2009	86.34	79.58	83.05
2010	86.17	79.92	83.16
2011	85.95	79.37	82.73
2012	86.30	79.74	83.10
2013	86.37	79.88	83.20
2014	86.62	80.45	83.61
2015	87.09	80.37	83.79
2016	87.02	80.61	83.88
2017	87.28	81.02	84.21
2018	87.29	81.20	84.32
2019	87.45	81.18	84.36
2020	87.18	81.53	84.42
2021	87.57	81.52	84.56
2022	87.14	80.88	84.00
2023	87.17	81.25	84.21
