07.Fukushima.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.62	49.55	51.09
1948	57.70	54.71	56.23
1949	58.65	55.44	57.05
1950	59.00	56.60	57.82
1951	60.79	57.86	59.35
1952	63.16	60.22	61.71
1953	63.79	60.28	62.03
1954	64.75	61.11	62.93
1955	65.49	61.70	63.60
1956	66.07	61.63	63.84
1957	65.83	61.57	63.68
1958	67.77	63.19	65.46
1959	68.34	63.58	65.95
1960	68.42	63.69	66.06
1961	69.70	64.05	66.84
1962	69.55	64.59	67.07
1963	71.00	65.65	68.33
1964	71.56	66.24	68.90
1965	71.70	66.22	68.95
1966	72.79	67.09	69.93
1967	73.11	67.54	70.32
1968	73.31	67.55	70.44
1969	73.96	67.87	70.90
1970	73.83	67.91	70.88
1971	74.78	69.11	71.98
1972	75.39	69.43	72.43
1973	75.27	69.68	72.52
1974	75.92	70.05	73.03
1975	75.98	70.73	73.41
1976	76.71	71.09	73.96
1977	77.66	71.94	74.86
1978	77.95	72.24	75.16
1979	78.16	72.71	75.51
1980	78.25	72.80	75.60
1981	78.69	73.15	75.99
1982	79.27	73.74	76.59
1983	79.32	73.44	76.45
1984	79.70	73.94	76.91
1985	80.06	74.38	77.30
1986	80.61	74.69	77.73
1987	80.82	75.13	78.07
1988	81.05	74.94	78.08
1989	81.49	75.65	78.68
1990	81.88	75.57	78.82
1991	82.14	75.87	79.09
1992	82.22	75.76	79.07
1993	82.33	76.10	79.30
1994	82.58	76.66	79.71
1995	82.82	76.08	79.51
1996	82.96	76.57	79.85
1997	83.32	76.96	80.24
1998	83.65	76.66	80.22
1999	83.56	76.84	80.27
2000	84.00	77.12	80.63
2001	84.35	77.43	80.96
2002	84.72	77.76	81.31
2003	84.92	77.70	81.37
2004	85.13	77.66	81.44
2005	85.17	77.72	81.48
2006	85.41	78.36	81.95
2007	85.55	78.46	82.05
2008	85.66	78.74	82.25
2009	85.97	78.62	82.34
2010	85.88	78.75	82.35
2011	83.75	77.29	80.53
2012	86.05	79.11	82.60
2013	86.23	79.40	82.83
2014	86.43	79.99	83.24
2015	86.26	79.90	83.09
2016	86.38	80.19	83.29
2017	86.53	80.29	83.41
2018	86.61	80.33	83.47
2019	86.81	80.40	83.58
2020	87.05	80.87	83.96
2021	86.63	80.57	83.59
2022	86.29	80.25	83.23
2023	86.22	80.44	83.28
