08.Ibaraki.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	54.63	51.00	52.80
1948	59.58	55.21	57.39
1949	59.30	55.35	57.33
1950	59.34	56.46	57.91
1951	61.21	58.19	59.72
1952	63.53	60.10	61.84
1953	63.20	59.85	61.52
1954	64.71	60.70	62.70
1955	66.18	62.35	64.26
1956	66.43	62.33	64.36
1957	65.98	61.86	63.89
1958	68.24	63.51	65.86
1959	68.92	64.15	66.50
1960	68.81	64.46	66.62
1961	69.33	64.50	66.87
1962	70.03	65.02	67.49
1963	71.52	66.26	68.84
1964	72.31	66.80	69.53
1965	72.11	66.72	69.37
1966	73.08	67.60	70.31
1967	73.49	67.96	70.70
1968	73.52	67.89	70.66
1969	73.93	67.95	70.89
1970	73.89	67.95	70.87
1971	74.65	68.45	71.52
1972	75.22	68.95	72.06
1973	75.06	69.11	72.06
1974	75.58	69.86	72.71
1975	76.11	70.52	73.32
1976	76.33	71.18	73.77
1977	77.29	71.59	74.45
1978	77.39	72.01	74.72
1979	78.35	72.45	75.41
1980	78.20	72.59	75.42
1981	78.26	73.25	75.80
1982	78.69	73.37	76.06
1983	79.23	73.44	76.36
1984	79.33	73.86	76.63
1985	80.00	74.39	77.22
1986	80.34	74.73	77.58
1987	80.90	75.15	78.07
1988	80.82	74.84	77.86
1989	81.59	75.68	78.69
1990	81.22	75.54	78.43
1991	81.76	75.79	78.82
1992	81.80	75.66	78.76
1993	82.10	75.82	78.97
1994	82.80	76.28	79.57
1995	82.43	75.99	79.23
1996	83.06	76.70	79.91
1997	83.22	76.59	79.93
1998	83.46	76.86	80.18
1999	83.49	76.64	80.06
2000	84.07	77.23	80.67
2001	84.40	77.57	81.01
2002	84.71	77.64	81.18
2003	84.54	77.80	81.19
2004	85.07	78.34	81.73
2005	84.97	78.16	81.56
2006	85.25	78.35	81.80
2007	85.48	78.57	82.01
2008	85.65	78.56	82.07
2009	85.86	78.80	82.30
2010	85.76	79.05	82.39
2011	85.66	79.01	82.30
2012	85.85	79.56	82.70
2013	85.96	79.66	82.79
2014	86.21	80.13	83.16
2015	86.33	80.11	83.19
2016	86.38	80.52	83.44
2017	86.75	80.39	83.53
2018	86.72	80.46	83.53
2019	86.71	80.69	83.66
2020	87.07	80.89	83.93
2021	87.04	81.07	84.00
2022	86.52	80.40	83.37
2023	86.40	80.45	83.34
