09.Tochigi.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.54	50.14	51.83
1948	59.46	55.65	57.57
1949	59.61	55.99	57.80
1950	58.97	56.17	57.60
1951	61.72	58.23	59.99
1952	63.29	60.28	61.81
1953	63.80	60.47	62.14
1954	64.99	61.35	63.20
1955	66.64	62.74	64.71
1956	67.37	62.90	65.13
1957	66.41	61.87	64.10
1958	68.16	63.80	65.98
1959	69.24	64.04	66.62
1960	69.44	64.46	66.93
1961	69.94	64.53	67.21
1962	69.90	64.90	67.37
1963	71.49	66.13	68.79
1964	71.89	66.25	69.05
1965	72.18	66.24	69.16
1966	73.01	66.95	69.96
1967	73.50	67.62	70.52
1968	73.38	67.89	70.63
1969	73.87	68.13	70.98
1970	73.65	67.80	70.70
1971	74.51	68.28	71.36
1972	74.92	69.13	72.02
1973	75.11	69.40	72.25
1974	75.59	69.97	72.79
1975	76.33	70.30	73.31
1976	76.64	71.33	74.01
1977	76.95	72.07	74.55
1978	77.36	71.82	74.63
1979	78.10	72.89	75.56
1980	77.92	72.50	75.26
1981	78.07	73.10	75.64
1982	78.80	73.41	76.16
1983	78.91	73.61	76.32
1984	79.62	74.06	76.89
1985	79.87	74.23	77.10
1986	80.11	74.75	77.49
1987	80.96	75.28	78.19
1988	80.60	74.91	77.80
1989	81.32	75.43	78.42
1990	80.84	75.27	78.11
1991	81.52	75.42	78.51
1992	81.58	75.20	78.43
1993	81.65	75.33	78.52
1994	82.22	75.99	79.15
1995	82.64	75.90	79.29
1996	82.97	76.35	79.71
1997	83.20	76.53	79.90
1998	83.40	76.58	80.02
1999	83.28	76.69	80.02
2000	83.91	77.10	80.55
2001	84.37	77.51	80.99
2002	84.59	77.85	81.26
2003	84.35	77.61	81.02
2004	85.04	78.03	81.57
2005	84.58	77.82	81.23
2006	85.06	78.03	81.55
2007	85.12	78.45	81.82
2008	85.28	78.80	82.08
2009	85.50	78.94	82.25
2010	85.57	79.02	82.31
2011	85.51	78.90	82.20
2012	85.62	79.03	82.32
2013	85.85	79.74	82.81
2014	85.95	79.65	82.82
2015	86.40	80.34	83.40
2016	86.37	80.26	83.33
2017	86.36	80.41	83.39
2018	86.56	80.57	83.57
2019	86.60	80.78	83.68
2020	87.08	81.22	84.15
2021	87.01	81.00	83.96
2022	86.33	80.54	83.38
2023	86.38	80.65	83.45
