10.Gumma.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.66	50.73	52.17
1948	58.32	55.78	57.04
1949	58.91	55.90	57.40
1950	60.31	57.73	59.04
1951	62.23	59.60	60.92
1952	64.19	61.43	62.84
1953	64.74	61.94	63.37
1954	66.15	62.36	64.25
1955	67.59	63.58	65.59
1956	67.16	63.67	65.43
1957	67.12	63.31	65.20
1958	68.83	64.97	66.90
1959	69.02	64.47	66.72
1960	69.64	65.01	67.31
1961	70.08	65.40	67.74
1962	70.36	65.94	68.13
1963	71.39	66.89	69.13
1964	71.99	67.28	69.63
1965	72.11	67.09	69.58
1966	72.91	67.68	70.28
1967	73.16	68.26	70.69
1968	73.72	68.37	71.03
1969	73.87	68.77	71.30
1970	73.92	68.65	71.26
1971	74.94	69.60	72.27
1972	75.59	70.16	72.89
1973	75.54	70.37	72.96
1974	75.89	70.43	73.16
1975	76.29	71.31	73.83
1976	76.66	71.73	74.22
1977	77.35	72.34	74.89
1978	77.78	72.64	75.24
1979	78.00	73.39	75.74
1980	78.36	73.62	76.04
1981	78.77	73.99	76.44
1982	79.19	74.23	76.76
1983	79.39	74.33	76.90
1984	79.78	74.76	77.33
1985	80.16	74.99	77.63
1986	80.89	75.45	78.23
1987	81.01	75.75	78.45
1988	81.02	75.57	78.36
1989	81.52	76.34	79.02
1990	81.84	76.24	79.11
1991	82.07	76.40	79.31
1992	82.15	76.60	79.45
1993	82.40	76.51	79.52
1994	82.80	76.68	79.80
1995	82.69	76.68	79.75
1996	83.45	77.42	80.51
1997	83.92	77.70	80.88
1998	83.71	77.20	80.51
1999	83.77	77.28	80.57
2000	84.36	77.88	81.18
2001	84.77	78.22	81.56
2002	84.94	78.33	81.71
2003	85.11	78.45	81.84
2004	85.43	78.69	82.11
2005	84.87	78.49	81.73
2006	85.58	78.98	82.33
2007	85.75	79.21	82.52
2008	85.96	79.38	82.71
2009	86.03	79.28	82.68
2010	85.83	79.37	82.62
2011	85.93	79.58	82.78
2012	86.20	79.67	82.94
2013	86.28	79.79	83.05
2014	86.68	80.32	83.49
2015	86.76	80.72	83.76
2016	86.97	80.68	83.83
2017	87.03	80.66	83.83
2018	87.02	80.92	83.96
2019	86.92	81.24	84.09
2020	87.27	81.36	84.30
2021	87.30	80.76	83.96
2022	86.52	80.80	83.61
2023	86.54	80.68	83.55
