11.Saitama.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.07	50.35	51.72
1948	58.90	55.62	57.25
1949	58.80	55.57	57.19
1950	58.47	55.69	57.08
1951	60.82	58.13	59.48
1952	62.60	59.65	61.13
1953	62.45	59.78	61.10
1954	64.14	60.83	62.48
1955	65.91	62.09	63.99
1956	65.81	61.97	63.86
1957	65.41	61.75	63.53
1958	68.00	63.51	65.71
1959	68.35	64.13	66.20
1960	69.10	64.26	66.62
1961	69.34	64.77	67.01
1962	69.99	64.88	67.35
1963	71.54	66.53	69.00
1964	71.82	66.82	69.26
1965	72.13	66.94	69.46
1966	73.17	67.94	70.50
1967	73.29	68.44	70.83
1968	73.54	68.61	71.03
1969	73.92	68.72	71.27
1970	74.30	68.92	71.55
1971	74.81	69.83	72.30
1972	75.48	70.39	72.92
1973	75.32	70.62	72.97
1974	75.86	71.52	73.71
1975	76.58	71.59	74.08
1976	76.96	72.23	74.60
1977	77.29	72.86	75.10
1978	77.77	72.93	75.37
1979	78.31	73.93	76.16
1980	78.54	73.55	76.06
1981	78.91	73.87	76.41
1982	79.32	74.53	76.96
1983	79.48	74.51	77.03
1984	80.00	74.80	77.43
1985	80.44	75.08	77.80
1986	80.88	75.68	78.33
1987	81.00	75.71	78.39
1988	80.94	75.86	78.44
1989	81.45	76.18	78.85
1990	81.48	76.14	78.84
1991	81.81	76.46	79.18
1992	81.81	76.34	79.12
1993	82.05	76.39	79.25
1994	82.59	76.80	79.72
1995	82.54	76.71	79.66
1996	83.05	77.27	80.20
1997	83.52	77.42	80.50
1998	83.47	77.36	80.44
1999	83.71	77.36	80.55
2000	84.22	78.09	81.19
2001	84.42	78.31	81.41
2002	84.80	78.43	81.65
2003	84.86	78.63	81.77
2004	85.07	78.95	82.05
2005	85.07	78.69	81.89
2006	85.29	79.09	82.22
2007	85.38	79.32	82.38
2008	85.61	79.31	82.46
2009	86.00	79.58	82.80
2010	85.85	79.56	82.71
2011	85.81	79.77	82.79
2012	85.98	79.92	82.95
2013	86.21	80.24	83.22
2014	86.34	80.56	83.46
2015	86.68	80.71	83.69
2016	86.88	80.99	83.94
2017	86.97	81.18	84.08
2018	87.07	81.21	84.13
2019	87.19	81.33	84.25
2020	87.32	81.49	84.39
2021	87.27	81.38	84.29
2022	86.73	80.97	83.79
2023	86.86	80.87	83.80
