12.Chiba.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	55.32	49.64	52.43
1948	59.71	54.42	57.08
1949	59.85	55.40	57.65
1950	60.16	56.75	58.47
1951	62.15	58.51	60.36
1952	64.34	60.17	62.28
1953	63.36	60.18	61.78
1954	65.99	61.34	63.65
1955	67.12	62.55	64.84
1956	66.91	62.34	64.61
1957	66.81	62.25	64.49
1958	68.82	64.17	66.49
1959	69.78	64.98	67.37
1960	70.05	64.80	67.38
1961	70.56	65.64	68.08
1962	70.75	65.67	68.16
1963	72.43	67.11	69.74
1964	72.93	67.40	70.13
1965	72.98	67.32	70.10
1966	73.80	68.40	71.07
1967	74.28	68.81	71.51
1968	74.35	69.14	71.74
1969	74.67	68.88	71.72
1970	74.82	69.22	71.98
1971	75.51	69.94	72.70
1972	76.28	70.73	73.49
1973	76.04	70.87	73.44
1974	76.38	71.36	73.87
1975	76.97	71.87	74.43
1976	77.32	72.48	74.92
1977	77.93	72.79	75.40
1978	78.29	73.19	75.77
1979	78.76	73.63	76.23
1980	78.98	73.80	76.42
1981	79.22	74.05	76.67
1982	79.92	74.65	77.33
1983	79.74	74.47	77.14
1984	80.33	74.94	77.67
1985	80.94	75.28	78.15
1986	81.12	75.59	78.40
1987	81.73	76.07	78.96
1988	81.62	75.99	78.86
1989	82.07	76.34	79.26
1990	82.00	76.45	79.28
1991	82.25	76.55	79.45
1992	82.25	76.41	79.37
1993	82.52	76.60	79.60
1994	82.87	76.78	79.87
1995	82.95	76.69	79.84
1996	83.43	77.23	80.37
1997	83.71	77.54	80.67
1998	83.67	77.53	80.63
1999	83.78	77.44	80.63
2000	84.54	77.98	81.29
2001	84.75	78.49	81.67
2002	84.81	78.39	81.63
2003	85.19	78.52	81.88
2004	85.40	78.73	82.09
2005	85.27	78.72	82.01
2006	85.42	79.05	82.26
2007	85.97	79.26	82.62
2008	85.83	79.48	82.68
2009	86.28	79.66	82.98
2010	86.12	79.77	82.97
2011	86.05	79.95	83.02
2012	86.25	80.08	83.18
2013	86.58	80.36	83.48
2014	86.63	80.77	83.73
2015	86.73	80.82	83.78
2016	87.24	81.00	84.11
2017	87.07	81.08	84.07
2018	87.32	81.35	84.33
2019	87.28	81.26	84.25
2020	87.62	81.53	84.55
2021	87.51	81.48	84.46
2022	86.89	80.91	83.85
2023	86.95	81.04	83.94
