13.Tokyo.to, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	58.93	54.47	56.66
1948	62.90	58.54	60.71
1949	62.49	58.78	60.64
1950	63.33	59.79	61.55
1951	65.25	61.64	63.44
1952	66.57	63.15	64.85
1953	66.90	63.06	64.95
1954	68.37	64.31	66.31
1955	69.49	65.45	67.44
1956	69.59	65.24	67.38
1957	69.51	64.92	67.14
1958	70.92	66.31	68.56
1959	71.69	66.84	69.20
1960	72.00	67.11	69.44
1961	72.40	67.67	69.97
1962	72.44	67.86	70.09
1963	73.89	69.16	71.51
1964	74.05	69.25	71.60
1965	74.32	69.61	71.91
1966	74.85	70.21	72.50
1967	74.94	70.50	72.65
1968	75.45	70.56	72.98
1969	75.28	70.43	72.79
1970	75.40	70.76	73.05
1971	76.05	71.52	73.78
1972	76.67	72.04	74.33
1973	76.79	72.24	74.52
1974	77.21	72.91	75.04
1975	77.56	72.95	75.27
1976	78.11	73.40	75.78
1977	78.60	73.78	76.21
1978	78.62	73.93	76.31
1979	79.26	74.33	76.84
1980	79.25	74.34	76.84
1981	79.57	74.68	77.18
1982	80.27	75.00	77.69
1983	80.31	74.97	77.69
1984	80.67	75.25	78.01
1985	80.83	75.60	78.28
1986	81.26	75.84	78.62
1987	81.54	76.09	78.88
1988	81.51	76.07	78.86
1989	81.85	76.29	79.14
1990	81.98	76.14	79.11
1991	82.21	76.55	79.45
1992	82.42	76.39	79.46
1993	82.42	76.61	79.58
1994	82.83	76.81	79.88
1995	82.85	76.70	79.83
1996	83.41	77.18	80.36
1997	83.69	77.40	80.61
1998	83.84	77.48	80.72
1999	83.72	77.32	80.57
2000	84.31	77.81	81.11
2001	84.69	78.20	81.50
2002	85.04	78.56	81.87
2003	85.14	78.68	81.98
2004	85.38	79.01	82.26
2005	85.38	78.84	82.16
2006	85.64	79.29	82.53
2007	85.75	79.38	82.63
2008	85.94	79.58	82.83
2009	86.37	79.80	83.15
2010	86.26	79.70	83.03
2011	86.28	80.02	83.22
2012	86.43	80.14	83.35
2013	86.67	80.37	83.58
2014	86.88	80.69	83.85
2015	87.23	80.95	84.16
2016	87.35	81.22	84.35
2017	87.52	81.36	84.50
2018	87.56	81.45	84.57
2019	87.75	81.69	84.78
2020	87.96	81.86	84.97
2021	87.80	81.71	84.80
2022	87.30	81.43	84.38
2023	87.60	81.59	84.62
