14.Kanagawa.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	57.60	53.03	55.25
1948	62.03	57.81	59.89
1949	62.50	58.27	60.37
1950	63.58	59.48	61.50
1951	64.86	61.34	63.09
1952	66.47	62.65	64.54
1953	66.64	62.63	64.59
1954	67.76	63.72	65.71
1955	69.01	64.78	66.86
1956	68.99	64.99	66.95
1957	69.32	64.30	66.72
1958	70.43	65.45	67.88
1959	71.15	66.11	68.57
1960	71.45	66.23	68.77
1961	72.02	66.90	69.39
1962	71.92	67.05	69.41
1963	73.41	68.25	70.76
1964	73.69	68.32	70.92
1965	73.62	68.95	71.24
1966	74.44	69.52	71.92
1967	74.55	69.57	72.01
1968	75.20	70.17	72.64
1969	75.30	70.13	72.65
1970	75.56	70.41	72.94
1971	76.04	70.99	73.47
1972	76.68	71.50	74.06
1973	76.72	71.82	74.24
1974	77.16	72.18	74.64
1975	77.49	72.93	75.21
1976	78.22	73.31	75.76
1977	78.62	73.87	76.24
1978	78.84	73.87	76.35
1979	79.38	74.44	76.93
1980	79.42	74.29	76.86
1981	79.60	74.78	77.21
1982	80.17	75.19	77.70
1983	80.32	74.99	77.66
1984	80.74	75.30	78.02
1985	81.00	75.54	78.27
1986	81.51	75.94	78.73
1987	81.86	76.24	79.06
1988	81.59	76.24	78.93
1989	82.21	76.72	79.49
1990	82.09	76.51	79.31
1991	82.40	76.77	79.59
1992	82.46	76.78	79.63
1993	82.68	76.71	79.69
1994	82.96	77.02	80.00
1995	83.01	76.97	79.99
1996	83.68	77.58	80.64
1997	83.84	77.78	80.82
1998	83.94	77.69	80.81
1999	84.02	77.67	80.85
2000	84.76	78.30	81.54
2001	85.05	78.50	81.79
2002	85.11	78.85	82.01
2003	85.42	78.93	82.19
2004	85.69	79.42	82.59
2005	85.68	79.09	82.40
2006	86.04	79.65	82.87
2007	86.12	79.77	82.97
2008	86.17	79.83	83.02
2009	86.58	80.24	83.44
2010	86.51	80.15	83.34
2011	86.37	80.06	83.22
2012	86.71	80.46	83.61
2013	86.91	80.77	83.87
2014	87.06	80.97	84.04
2015	87.23	81.25	84.27
2016	87.32	81.54	84.46
2017	87.50	81.58	84.56
2018	87.49	81.79	84.67
2019	87.71	81.96	84.86
2020	87.99	82.06	85.04
2021	87.83	82.00	84.92
2022	87.30	81.48	84.37
2023	87.52	81.58	84.53
