15.Niigata.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.57	49.17	50.86
1948	55.96	52.85	54.43
1949	57.25	54.17	55.74
1950	59.72	56.29	58.04
1951	61.54	58.44	60.02
1952	63.65	60.42	62.08
1953	64.51	61.02	62.79
1954	66.52	62.34	64.47
1955	67.04	62.86	64.98
1956	67.23	62.91	65.08
1957	66.83	62.80	64.83
1958	68.41	63.85	66.14
1959	69.18	64.73	66.97
1960	69.99	65.23	67.62
1961	70.09	65.16	67.64
1962	70.63	66.03	68.34
1963	71.71	66.68	69.21
1964	71.92	67.05	69.51
1965	71.59	66.78	69.20
1966	73.04	67.82	70.45
1967	73.29	68.02	70.69
1968	73.52	68.26	70.93
1969	74.09	68.45	71.29
1970	74.20	68.49	71.36
1971	74.91	69.73	72.37
1972	75.47	69.96	72.77
1973	76.05	70.27	73.20
1974	75.92	70.70	73.37
1975	76.89	70.97	73.98
1976	77.14	71.60	74.43
1977	77.64	72.41	75.11
1978	77.53	72.54	75.11
1979	78.88	72.99	76.01
1980	78.84	73.32	76.16
1981	78.94	73.51	76.31
1982	79.89	74.27	77.16
1983	79.96	74.10	77.12
1984	80.46	74.46	77.55
1985	80.69	74.66	77.77
1986	81.13	75.27	78.31
1987	81.94	75.82	79.00
1988	81.49	76.02	78.88
1989	82.03	76.24	79.26
1990	82.36	76.55	79.58
1991	82.68	76.63	79.79
1992	82.75	76.07	79.51
1993	83.00	76.67	79.95
1994	83.25	76.71	80.09
1995	83.33	76.78	80.17
1996	84.03	77.34	80.81
1997	84.27	77.30	80.89
1998	84.56	77.29	81.02
1999	84.62	77.12	80.94
2000	85.14	77.82	81.58
2001	85.39	77.88	81.72
2002	85.65	78.38	82.12
2003	85.70	78.43	82.16
2004	85.84	78.47	82.25
2005	86.02	78.50	82.34
2006	86.34	79.09	82.81
2007	86.31	79.00	82.72
2008	86.74	79.51	83.21
2009	86.98	79.81	83.48
2010	86.86	79.43	83.20
2011	86.87	79.73	83.35
2012	86.99	79.87	83.47
2013	86.69	80.26	83.55
2014	87.10	80.34	83.77
2015	87.35	80.73	84.11
2016	87.35	80.87	84.18
2017	87.42	80.97	84.25
2018	87.34	80.99	84.21
2019	87.42	81.05	84.26
2020	87.81	81.55	84.72
2021	87.55	81.29	84.43
2022	87.29	81.13	84.21
2023	87.29	80.87	84.05
