16.Toyama.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.25	47.28	48.74
1948	55.59	51.89	53.74
1949	55.20	52.36	53.79
1950	57.54	55.51	56.56
1951	59.31	56.88	58.14
1952	62.91	59.28	61.12
1953	63.07	59.52	61.32
1954	65.78	61.40	63.61
1955	66.93	62.31	64.63
1956	66.16	62.18	64.19
1957	66.64	62.13	64.37
1958	67.95	63.42	65.69
1959	68.41	63.54	65.98
1960	69.14	64.15	66.64
1961	68.91	64.52	66.71
1962	70.46	65.52	67.98
1963	71.11	66.19	68.64
1964	71.54	66.27	68.90
1965	71.85	66.38	69.10
1966	72.59	67.54	70.09
1967	73.27	68.28	70.79
1968	73.66	68.22	70.96
1969	74.11	68.90	71.52
1970	74.18	68.52	71.37
1971	74.90	69.41	72.18
1972	75.47	70.11	72.84
1973	75.60	70.44	73.08
1974	75.61	70.10	72.90
1975	76.41	71.60	74.08
1976	77.19	71.49	74.40
1977	77.49	72.34	75.00
1978	77.67	72.36	75.09
1979	78.81	73.14	76.05
1980	78.54	73.30	76.00
1981	79.13	73.38	76.34
1982	80.00	74.21	77.21
1983	79.80	74.19	77.09
1984	80.06	74.69	77.49
1985	80.49	74.42	77.55
1986	81.35	75.24	78.40
1987	81.65	75.71	78.80
1988	81.52	75.53	78.64
1989	81.98	75.96	79.10
1990	82.13	75.90	79.13
1991	82.46	76.53	79.63
1992	82.55	76.19	79.49
1993	82.93	76.40	79.78
1994	83.52	76.98	80.38
1995	83.32	76.80	80.18
1996	84.01	77.52	80.91
1997	84.34	77.28	80.93
1998	84.08	77.16	80.74
1999	84.39	77.49	81.05
2000	85.19	77.92	81.68
2001	85.29	78.63	82.11
2002	86.07	78.83	82.60
2003	85.85	78.32	82.19
2004	85.99	78.88	82.58
2005	86.05	78.83	82.55
2006	86.22	79.32	82.90
2007	86.46	79.38	83.04
2008	86.27	79.18	82.82
2009	86.77	79.61	83.29
2010	86.62	79.70	83.27
2011	86.36	79.78	83.18
2012	86.71	79.78	83.32
2013	87.13	80.21	83.75
2014	87.38	80.05	83.78
2015	87.21	80.63	84.01
2016	87.48	81.05	84.36
2017	87.63	81.10	84.44
2018	87.90	81.30	84.68
2019	87.87	81.64	84.84
2020	88.15	82.08	85.22
2021	87.92	81.59	84.83
2022	87.31	81.15	84.27
2023	87.11	81.29	84.24
