18.Fukui.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.32	47.26	48.80
1948	46.36	46.99	46.67
1949	57.46	54.70	56.11
1950	58.98	56.60	57.83
1951	60.46	57.63	59.07
1952	62.21	59.76	61.04
1953	63.81	60.96	62.40
1954	66.09	62.95	64.56
1955	66.61	63.82	65.25
1956	67.38	62.77	65.06
1957	66.48	62.86	64.68
1958	68.97	64.77	66.87
1959	69.27	64.95	67.10
1960	69.95	65.55	67.74
1961	70.11	66.18	68.17
1962	70.00	66.37	68.21
1963	72.06	66.98	69.52
1964	73.16	67.88	70.51
1965	72.07	67.40	69.75
1966	73.41	68.77	71.11
1967	73.83	69.03	71.43
1968	74.09	69.18	71.63
1969	74.57	69.64	72.11
1970	74.57	69.99	72.30
1971	75.09	70.21	72.68
1972	75.51	71.61	73.60
1973	75.97	71.26	73.68
1974	75.95	71.70	73.88
1975	76.94	71.97	74.51
1976	77.15	72.78	75.03
1977	77.59	73.35	75.55
1978	78.03	73.48	75.84
1979	79.18	74.12	76.74
1980	78.84	74.03	76.53
1981	79.28	74.54	76.99
1982	79.81	75.01	77.50
1983	80.41	74.96	77.76
1984	80.45	75.55	78.10
1985	80.59	75.13	77.94
1986	81.54	76.03	78.90
1987	81.74	76.52	79.27
1988	81.86	76.45	79.26
1989	81.76	76.74	79.38
1990	82.07	76.85	79.58
1991	82.84	76.94	80.02
1992	83.00	76.73	79.97
1993	82.80	77.03	80.04
1994	83.45	77.30	80.50
1995	83.39	77.10	80.37
1996	83.49	78.02	80.93
1997	83.64	77.74	80.82
1998	84.72	77.87	81.42
1999	84.74	77.91	81.45
2000	85.19	78.58	82.02
2001	85.50	78.84	82.33
2002	85.59	79.27	82.58
2003	85.86	78.92	82.53
2004	86.05	79.01	82.67
2005	85.68	79.27	82.62
2006	86.37	79.86	83.25
2007	86.19	79.93	83.21
2008	86.60	80.00	83.42
2009	86.92	80.05	83.58
2010	86.74	80.40	83.68
2011	87.04	80.28	83.74
2012	86.77	80.60	83.80
2013	87.21	80.78	84.07
2014	87.50	80.99	84.31
2015	87.47	81.38	84.51
2016	87.37	81.25	84.38
2017	87.45	81.81	84.72
2018	88.12	81.80	85.01
2019	87.76	81.79	84.83
2020	87.88	81.85	84.92
2021	87.93	82.35	85.21
2022	87.40	81.60	84.52
2023	87.67	81.98	84.85
