19.Yamanashi.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	54.93	51.41	53.15
1948	59.93	56.51	58.25
1949	60.79	57.59	59.23
1950	62.44	58.64	60.56
1951	65.18	61.36	63.28
1952	66.61	62.53	64.58
1953	65.77	62.73	64.27
1954	67.73	63.63	65.69
1955	68.87	64.91	66.92
1956	68.64	63.73	66.18
1957	68.94	65.00	66.99
1958	69.75	65.38	67.58
1959	69.92	65.80	67.88
1960	70.47	65.97	68.22
1961	71.61	66.48	69.05
1962	71.79	66.39	69.08
1963	73.40	67.78	70.59
1964	72.93	67.80	70.39
1965	73.38	67.42	70.39
1966	73.18	67.52	70.36
1967	74.46	68.86	71.67
1968	74.56	69.00	71.78
1969	75.14	68.65	71.87
1970	74.62	68.99	71.81
1971	75.67	69.73	72.71
1972	76.17	70.17	73.16
1973	76.57	70.63	73.62
1974	76.89	71.05	74.00
1975	77.16	71.62	74.43
1976	77.81	72.05	74.97
1977	77.95	72.73	75.40
1978	78.54	73.26	75.96
1979	79.17	73.18	76.23
1980	78.95	72.85	75.93
1981	79.23	73.70	76.50
1982	80.12	73.99	77.11
1983	79.87	73.61	76.76
1984	80.67	74.95	77.86
1985	80.48	74.54	77.56
1986	81.24	75.57	78.49
1987	82.03	75.66	78.90
1988	81.23	75.60	78.48
1989	81.99	76.31	79.22
1990	82.13	75.94	79.09
1991	82.64	76.55	79.66
1992	82.99	75.98	79.51
1993	82.76	76.27	79.56
1994	83.41	76.73	80.12
1995	83.19	76.61	79.95
1996	83.88	77.06	80.52
1997	84.55	77.46	81.06
1998	84.54	77.23	80.92
1999	84.38	77.37	80.91
2000	85.12	78.18	81.71
2001	85.42	78.10	81.81
2002	85.63	78.65	82.21
2003	85.80	78.29	82.09
2004	86.05	78.99	82.59
2005	86.05	78.80	82.46
2006	85.98	78.64	82.33
2007	86.37	79.67	83.08
2008	86.61	79.28	82.95
2009	86.76	80.01	83.43
2010	86.63	79.54	83.09
2011	86.86	79.84	83.36
2012	86.46	80.42	83.48
2013	86.90	80.60	83.80
2014	86.83	80.14	83.50
2015	87.25	80.82	84.07
2016	87.45	81.35	84.43
2017	87.74	81.43	84.61
2018	87.58	81.66	84.65
2019	87.65	81.33	84.49
2020	88.24	81.76	85.01
2021	87.95	82.03	85.01
2022	87.15	81.63	84.42
2023	87.46	81.31	84.35
