20.Nagano.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	55.58	51.87	53.71
1948	59.62	56.20	57.94
1949	60.71	58.07	59.42
1950	62.47	59.78	61.16
1951	64.43	61.76	63.13
1952	66.43	63.47	64.99
1953	65.98	63.06	64.54
1954	68.17	64.44	66.33
1955	68.20	64.94	66.60
1956	68.74	65.19	66.99
1957	68.22	64.82	66.53
1958	69.74	66.23	68.00
1959	70.28	66.15	68.21
1960	70.51	66.53	68.54
1961	71.06	67.02	69.07
1962	71.52	67.19	69.36
1963	72.47	67.97	70.23
1964	72.39	68.18	70.30
1965	72.31	68.02	70.17
1966	73.56	69.26	71.44
1967	73.84	69.34	71.62
1968	74.21	69.52	71.89
1969	74.79	69.81	72.32
1970	74.50	70.02	72.29
1971	75.45	70.85	73.19
1972	76.23	71.22	73.76
1973	75.97	70.95	73.50
1974	76.22	71.68	73.99
1975	76.74	72.62	74.75
1976	77.57	72.76	75.23
1977	77.80	73.08	75.51
1978	78.47	73.61	76.11
1979	79.15	74.37	76.84
1980	78.90	74.29	76.68
1981	79.90	74.76	77.41
1982	80.29	75.44	77.96
1983	80.38	75.33	77.94
1984	80.70	75.54	78.21
1985	80.84	75.81	78.42
1986	81.43	76.29	78.95
1987	81.89	76.93	79.52
1988	81.64	76.85	79.36
1989	82.34	77.45	80.02
1990	82.64	77.18	80.02
1991	82.80	77.66	80.35
1992	82.77	77.19	80.08
1993	83.34	77.74	80.65
1994	83.35	77.62	80.59
1995	83.91	78.11	81.11
1996	84.02	78.41	81.33
1997	84.42	78.43	81.52
1998	84.60	78.66	81.73
1999	84.65	78.61	81.73
2000	85.30	78.67	82.06
2001	85.37	79.34	82.46
2002	85.98	79.40	82.78
2003	86.15	79.64	82.99
2004	86.18	79.62	82.97
2005	86.16	79.54	82.91
2006	86.60	80.23	83.50
2007	86.61	80.49	83.63
2008	86.66	80.13	83.45
2009	87.14	80.60	83.94
2010	87.12	80.82	84.04
2011	86.71	80.86	83.86
2012	86.97	80.97	84.03
2013	87.45	81.37	84.47
2014	87.27	81.31	84.35
2015	87.91	81.85	84.93
2016	87.69	81.97	84.89
2017	87.83	82.11	85.02
2018	88.02	82.44	85.28
2019	88.03	82.55	85.34
2020	88.39	82.54	85.51
2021	88.31	82.94	85.67
2022	87.91	82.40	85.16
2023	87.96	82.58	85.28
