21.Gifu.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.46	50.44	51.43
1948	57.60	55.30	56.44
1949	58.34	56.54	57.44
1950	60.32	58.32	59.31
1951	62.22	60.08	61.15
1952	64.33	61.82	63.06
1953	64.91	62.00	63.44
1954	67.06	63.37	65.18
1955	68.09	64.73	66.40
1956	67.49	64.31	65.88
1957	67.85	64.93	66.37
1958	69.28	65.88	67.56
1959	69.74	66.06	67.86
1960	70.22	66.53	68.34
1961	70.84	66.68	68.73
1962	71.10	67.03	69.03
1963	72.20	68.06	70.10
1964	72.76	68.73	70.72
1965	72.79	68.68	70.71
1966	73.38	69.24	71.29
1967	74.04	69.80	71.90
1968	74.26	69.86	72.02
1969	74.37	70.26	72.29
1970	74.42	69.93	72.15
1971	75.27	71.11	73.18
1972	75.60	71.58	73.60
1973	75.35	71.19	73.27
1974	76.00	71.62	73.82
1975	76.12	72.07	74.12
1976	76.84	72.67	74.78
1977	77.33	73.41	75.41
1978	77.84	73.55	75.73
1979	78.29	74.14	76.26
1980	78.20	73.70	75.98
1981	78.67	74.52	76.64
1982	79.33	74.82	77.13
1983	79.49	75.11	77.36
1984	79.75	75.34	77.61
1985	80.03	75.27	77.70
1986	80.76	75.87	78.38
1987	81.16	76.26	78.78
1988	81.27	75.95	78.67
1989	81.34	76.63	79.07
1990	81.50	76.69	79.17
1991	81.86	76.78	79.40
1992	82.19	76.92	79.62
1993	82.52	76.90	79.77
1994	82.66	76.88	79.82
1995	82.55	77.11	79.91
1996	83.44	77.52	80.56
1997	83.71	77.43	80.63
1998	83.73	77.72	80.80
1999	83.55	77.67	80.69
2000	84.18	78.04	81.19
2001	84.80	78.45	81.70
2002	85.01	78.64	81.90
2003	85.12	79.03	82.16
2004	85.33	78.99	82.24
2005	85.32	78.83	82.14
2006	85.50	79.01	82.32
2007	85.83	79.51	82.75
2008	85.92	79.51	82.78
2009	86.23	80.00	83.20
2010	86.15	79.84	83.07
2011	86.18	79.85	83.07
2012	86.16	80.41	83.35
2013	86.35	80.48	83.48
2014	86.53	80.63	83.64
2015	86.83	80.90	83.93
2016	86.89	81.29	84.16
2017	87.08	81.23	84.20
2018	87.16	81.45	84.37
2019	87.25	81.61	84.49
2020	87.68	82.24	85.03
2021	87.54	81.81	84.71
2022	87.21	81.28	84.25
2023	87.08	81.59	84.36
