22.Shizuoka.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	56.18	52.05	54.08
1948	61.95	57.30	59.63
1949	61.99	57.84	59.92
1950	63.09	59.06	61.07
1951	64.89	61.13	63.00
1952	66.77	62.90	64.83
1953	66.51	62.35	64.39
1954	68.22	63.47	65.82
1955	68.62	64.35	66.46
1956	68.93	64.45	66.66
1957	68.49	64.34	66.37
1958	69.74	65.01	67.32
1959	70.63	65.81	68.19
1960	71.10	66.13	68.57
1961	71.65	66.22	68.87
1962	71.76	66.62	69.13
1963	72.75	67.53	70.10
1964	73.63	67.82	70.66
1965	73.81	68.06	70.87
1966	74.46	68.74	71.55
1967	74.79	69.12	71.91
1968	74.94	69.70	72.31
1969	75.39	69.63	72.47
1970	75.48	69.76	72.59
1971	75.90	70.73	73.33
1972	76.49	70.97	73.73
1973	76.70	71.21	73.97
1974	76.92	71.70	74.33
1975	77.57	72.27	74.95
1976	77.85	72.63	75.28
1977	78.25	73.17	75.76
1978	78.85	73.33	76.13
1979	79.55	73.97	76.81
1980	79.27	73.94	76.66
1981	79.74	74.27	77.06
1982	80.21	74.50	77.41
1983	80.37	74.64	77.56
1984	80.76	75.16	78.02
1985	81.23	75.28	78.31
1986	81.65	75.88	78.84
1987	82.04	76.11	79.15
1988	81.90	76.05	79.04
1989	82.29	76.35	79.40
1990	82.21	76.61	79.50
1991	82.62	76.65	79.72
1992	82.81	76.66	79.81
1993	82.96	76.92	80.02
1994	83.30	77.06	80.26
1995	83.39	76.87	80.19
1996	83.92	77.59	80.84
1997	84.36	77.86	81.20
1998	84.43	77.87	81.23
1999	84.37	77.74	81.12
2000	84.85	78.14	81.57
2001	85.12	78.43	81.84
2002	85.53	78.72	82.20
2003	85.68	78.72	82.26
2004	85.87	79.45	82.75
2005	85.76	78.93	82.40
2006	86.03	79.46	82.82
2007	86.27	79.74	83.07
2008	86.16	79.45	82.85
2009	86.57	79.96	83.32
2010	86.16	79.90	83.07
2011	86.22	79.99	83.14
2012	86.39	80.26	83.36
2013	86.64	80.40	83.55
2014	86.84	80.74	83.84
2015	87.06	80.80	83.96
2016	87.24	81.16	84.24
2017	87.24	81.18	84.23
2018	87.27	81.36	84.34
2019	87.29	81.43	84.39
2020	87.47	81.59	84.55
2021	87.63	81.70	84.67
2022	87.07	81.30	84.17
2023	87.05	81.36	84.19
