23.Aichi.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	55.35	51.48	53.39
1948	60.74	56.72	58.73
1949	60.52	57.13	58.83
1950	61.88	58.51	60.21
1951	63.33	60.14	61.74
1952	65.26	62.15	63.71
1953	65.66	62.45	64.05
1954	67.09	63.40	65.25
1955	68.31	64.60	66.45
1956	68.15	64.59	66.36
1957	68.07	64.11	66.07
1958	69.81	65.72	67.74
1959	67.68	64.35	66.01
1960	70.54	66.26	68.38
1961	70.90	66.59	68.73
1962	71.32	67.06	69.16
1963	72.30	68.18	70.22
1964	73.26	68.54	70.86
1965	73.36	68.76	71.01
1966	74.06	69.50	71.75
1967	74.13	69.59	71.84
1968	74.44	69.95	72.18
1969	74.69	70.02	72.32
1970	74.73	70.19	72.44
1971	75.36	71.05	73.20
1972	75.67	71.23	73.44
1973	75.76	71.55	73.66
1974	75.90	71.82	73.87
1975	76.60	72.39	74.51
1976	77.02	72.73	74.90
1977	77.42	73.07	75.28
1978	77.82	73.44	75.67
1979	78.47	73.88	76.21
1980	78.47	73.95	76.25
1981	79.05	74.32	76.72
1982	79.48	74.68	77.12
1983	79.58	74.81	77.25
1984	80.04	75.14	77.64
1985	80.41	75.38	77.94
1986	80.69	75.71	78.26
1987	81.06	75.89	78.53
1988	80.99	75.92	78.51
1989	81.24	76.14	78.75
1990	81.59	76.31	79.01
1991	81.78	76.41	79.16
1992	81.88	76.46	79.23
1993	82.09	76.59	79.40
1994	82.47	76.72	79.65
1995	82.56	76.72	79.68
1996	83.02	77.21	80.18
1997	83.34	77.54	80.51
1998	83.55	77.57	80.62
1999	83.64	77.52	80.63
2000	84.13	77.85	81.04
2001	84.41	78.31	81.42
2002	84.80	78.49	81.70
2003	84.92	78.62	81.82
2004	85.20	78.82	82.05
2005	85.04	78.72	81.91
2006	85.46	79.21	82.38
2007	85.65	79.26	82.49
2008	85.69	79.22	82.47
2009	86.09	79.81	82.99
2010	86.15	79.64	82.91
2011	86.05	79.94	83.02
2012	86.19	80.21	83.23
2013	86.38	80.44	83.44
2014	86.73	80.74	83.75
2015	86.70	81.07	83.92
2016	86.95	81.32	84.17
2017	87.20	81.33	84.28
2018	87.14	81.52	84.36
2019	87.35	81.69	84.54
2020	87.61	81.75	84.69
2021	87.52	81.78	84.65
2022	87.12	81.27	84.16
2023	87.24	81.46	84.32
