24.Mie.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.25	48.62	50.41
1948	58.63	55.42	57.04
1949	59.17	56.34	57.79
1950	61.91	58.11	60.01
1951	63.41	60.42	61.94
1952	65.43	62.04	63.75
1953	66.10	62.75	64.45
1954	67.57	63.96	65.80
1955	68.27	64.78	66.55
1956	68.48	64.20	66.35
1957	68.38	64.63	66.52
1958	70.08	65.61	67.86
1959	67.55	64.52	66.05
1960	70.09	66.07	68.08
1961	70.86	66.81	68.85
1962	71.55	66.80	69.17
1963	72.38	67.55	69.97
1964	73.03	68.45	70.74
1965	72.89	68.24	70.58
1966	73.89	69.13	71.51
1967	74.14	69.03	71.59
1968	74.38	69.63	72.01
1969	74.85	69.77	72.32
1970	74.43	69.73	72.09
1971	75.69	70.40	73.06
1972	76.11	70.61	73.39
1973	76.58	71.11	73.88
1974	76.19	71.29	73.78
1975	76.91	71.81	74.40
1976	77.06	72.01	74.59
1977	77.80	72.92	75.43
1978	78.28	73.11	75.76
1979	78.90	73.81	76.44
1980	78.88	73.47	76.26
1981	79.21	74.15	76.77
1982	79.70	74.41	77.15
1983	79.67	74.52	77.19
1984	80.07	74.12	77.18
1985	80.24	74.99	77.71
1986	81.19	75.50	78.45
1987	81.01	76.01	78.63
1988	80.95	75.66	78.41
1989	81.75	75.98	78.97
1990	81.79	75.79	78.89
1991	82.22	76.37	79.40
1992	82.21	76.53	79.48
1993	82.28	76.50	79.50
1994	82.61	76.78	79.83
1995	82.66	76.49	79.69
1996	83.42	76.93	80.28
1997	83.63	77.63	80.76
1998	83.52	77.17	80.46
1999	83.72	77.56	80.75
2000	84.45	77.67	81.16
2001	84.70	78.27	81.61
2002	85.20	78.39	81.91
2003	85.20	78.38	81.90
2004	85.56	78.79	82.29
2005	85.26	78.77	82.11
2006	85.43	78.94	82.28
2007	85.77	79.36	82.67
2008	86.03	79.16	82.66
2009	86.40	79.73	83.14
2010	86.17	79.60	82.94
2011	86.01	79.63	82.87
2012	86.22	80.05	83.20
2013	86.47	80.10	83.34
2014	86.78	80.69	83.79
2015	86.80	80.63	83.76
2016	87.08	80.96	84.08
2017	87.05	81.21	84.18
2018	87.15	81.42	84.34
2019	87.65	81.49	84.60
2020	87.54	81.70	84.67
2021	87.58	81.84	84.74
2022	87.31	81.50	84.40
2023	87.03	81.33	84.18
