25.Shiga.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	49.79	46.32	48.05
1948	57.10	53.81	55.50
1949	57.80	54.69	56.28
1950	61.18	57.54	59.37
1951	63.64	59.04	61.38
1952	64.47	60.95	62.78
1953	65.08	61.08	63.10
1954	66.66	62.64	64.70
1955	67.98	63.58	65.80
1956	67.51	63.52	65.55
1957	67.17	63.30	65.26
1958	69.39	64.66	67.03
1959	70.00	64.79	67.39
1960	69.57	65.29	67.47
1961	70.26	65.78	68.03
1962	70.90	66.06	68.50
1963	72.12	66.52	69.31
1964	72.06	67.20	69.66
1965	72.41	67.06	69.71
1966	72.89	67.73	70.29
1967	73.57	68.17	70.87
1968	73.95	68.68	71.33
1969	73.99	68.71	71.35
1970	74.38	69.22	71.81
1971	75.00	70.12	72.59
1972	75.52	70.74	73.17
1973	75.49	71.08	73.33
1974	75.76	70.94	73.39
1975	76.40	71.53	74.02
1976	76.89	71.89	74.44
1977	77.24	72.84	75.11
1978	77.73	73.15	75.53
1979	78.18	73.29	75.83
1980	78.67	73.49	76.16
1981	78.90	74.01	76.55
1982	79.73	74.71	77.32
1983	79.71	74.59	77.25
1984	80.16	75.14	77.76
1985	80.62	75.58	78.21
1986	80.94	75.33	78.24
1987	81.29	76.03	78.80
1988	81.56	75.97	78.88
1989	81.75	76.15	79.09
1990	81.83	76.67	79.38
1991	81.91	76.32	79.25
1992	82.33	76.69	79.64
1993	82.58	76.69	79.75
1994	82.98	76.87	80.03
1995	82.63	76.97	79.92
1996	83.73	77.48	80.73
1997	84.01	77.91	81.08
1998	84.33	77.80	81.18
1999	84.40	77.77	81.18
2000	84.87	78.27	81.68
2001	85.17	78.66	82.03
2002	85.76	79.00	82.52
2003	85.59	78.94	82.40
2004	86.32	79.39	82.99
2005	85.71	79.40	82.68
2006	86.08	79.82	83.06
2007	86.43	79.86	83.25
2008	86.47	79.97	83.31
2009	86.77	80.59	83.78
2010	86.60	80.51	83.66
2011	86.84	80.66	83.84
2012	86.61	81.18	83.98
2013	87.26	81.00	84.20
2014	87.33	81.53	84.52
2015	87.37	81.73	84.63
2016	87.91	81.93	84.99
2017	87.90	81.92	84.96
2018	87.82	82.33	85.15
2019	88.03	82.54	85.35
2020	88.39	82.88	85.71
2021	88.36	82.75	85.60
2022	87.97	82.18	85.09
2023	88.06	82.31	85.19
