26.Kyoto.fu, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.23	48.52	50.88
1948	59.60	55.98	57.85
1949	60.35	56.76	58.60
1950	63.40	59.04	61.25
1951	64.59	61.10	62.92
1952	66.26	62.67	64.52
1953	66.52	62.94	64.78
1954	68.53	64.35	66.47
1955	69.79	65.49	67.68
1956	69.02	64.77	66.93
1957	69.23	64.85	67.05
1958	70.69	66.18	68.46
1959	70.88	66.71	68.82
1960	71.16	66.58	68.88
1961	71.83	67.20	69.52
1962	72.18	67.59	69.89
1963	73.34	68.17	70.76
1964	73.12	68.92	71.05
1965	73.62	68.81	71.22
1966	74.15	69.60	71.89
1967	74.26	69.86	72.11
1968	74.81	70.42	72.64
1969	75.21	70.25	72.75
1970	75.28	70.60	72.96
1971	75.82	71.14	73.51
1972	76.16	71.67	73.98
1973	76.25	71.39	73.87
1974	76.54	71.96	74.32
1975	77.18	72.74	75.02
1976	77.63	72.87	75.33
1977	78.10	73.43	75.86
1978	78.58	73.57	76.16
1979	78.80	74.02	76.51
1980	79.07	74.07	76.67
1981	79.24	74.43	76.94
1982	79.58	74.83	77.31
1983	80.24	74.72	77.58
1984	80.18	75.02	77.72
1985	80.38	75.35	78.00
1986	80.80	75.66	78.36
1987	81.43	75.85	78.76
1988	81.21	76.04	78.76
1989	81.93	76.40	79.31
1990	81.69	76.26	79.13
1991	82.10	76.44	79.42
1992	82.00	76.37	79.32
1993	82.26	76.57	79.57
1994	82.81	77.06	80.09
1995	83.25	76.92	80.23
1996	83.59	77.34	80.62
1997	83.75	77.69	80.88
1998	83.98	77.46	80.86
1999	83.88	77.65	80.91
2000	84.60	77.95	81.43
2001	85.12	78.49	81.97
2002	85.47	78.60	82.19
2003	85.55	78.88	82.39
2004	85.63	79.15	82.57
2005	85.69	79.01	82.50
2006	85.78	79.46	82.78
2007	85.99	79.57	82.93
2008	86.43	79.59	83.14
2009	86.57	80.00	83.44
2010	86.59	80.14	83.50
2011	86.50	80.28	83.54
2012	86.50	80.47	83.62
2013	86.82	80.68	83.88
2014	87.07	81.02	84.18
2015	87.32	81.39	84.49
2016	87.57	81.63	84.74
2017	87.64	81.86	84.89
2018	87.85	82.03	85.07
2019	87.99	82.15	85.20
2020	88.49	82.34	85.54
2021	88.29	82.27	85.39
2022	87.58	81.56	84.64
2023	87.92	81.71	84.89
