27.Osaka.fu, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.43	48.86	51.10
1948	60.62	55.86	58.25
1949	60.45	55.97	58.20
1950	62.21	57.90	60.06
1951	63.80	59.45	61.63
1952	64.65	60.83	62.75
1953	65.85	61.82	63.84
1954	67.34	62.40	64.85
1955	68.24	63.68	65.95
1956	68.04	63.18	65.59
1957	67.74	62.97	65.31
1958	69.61	64.70	67.12
1959	70.23	65.20	67.68
1960	70.33	65.09	67.65
1961	71.19	65.91	68.50
1962	71.24	66.27	68.72
1963	72.37	67.44	69.88
1964	72.77	67.50	70.11
1965	73.02	67.85	70.41
1966	73.54	68.29	70.89
1967	73.93	68.93	71.42
1968	74.14	69.09	71.61
1969	74.51	69.33	71.91
1970	74.46	69.53	72.00
1971	75.39	70.28	72.85
1972	75.46	70.55	73.04
1973	75.64	70.77	73.23
1974	75.91	71.18	73.58
1975	76.49	71.59	74.08
1976	76.76	71.83	74.34
1977	77.43	72.27	74.90
1978	77.62	72.73	75.25
1979	78.11	73.01	75.63
1980	78.19	72.73	75.51
1981	78.49	73.14	75.89
1982	78.99	73.49	76.31
1983	79.08	73.59	76.40
1984	79.44	73.74	76.66
1985	79.57	73.97	76.85
1986	80.02	74.31	77.25
1987	80.44	74.60	77.60
1988	80.45	74.61	77.61
1989	80.84	74.96	77.98
1990	80.89	74.83	77.94
1991	81.36	75.13	78.32
1992	81.38	75.25	78.39
1993	81.51	75.34	78.50
1994	82.20	75.71	79.03
1995	82.09	75.72	78.99
1996	82.74	76.25	79.58
1997	83.14	76.48	79.90
1998	83.30	76.33	79.88
1999	83.40	76.47	80.00
2000	83.90	76.92	80.49
2001	84.26	77.24	80.83
2002	84.58	77.54	81.16
2003	84.79	77.61	81.28
2004	85.01	77.94	81.57
2005	84.82	77.92	81.45
2006	85.11	78.28	81.79
2007	85.35	78.48	82.00
2008	85.37	78.53	82.03
2009	85.85	78.79	82.40
2010	85.79	78.87	82.40
2011	85.70	79.06	82.45
2012	85.87	79.33	82.68
2013	86.13	79.57	82.92
2014	86.47	79.95	83.29
2015	86.64	80.09	83.43
2016	86.89	80.43	83.73
2017	86.98	80.53	83.82
2018	86.95	80.59	83.84
2019	87.25	80.82	84.10
2020	87.47	80.89	84.23
2021	87.31	80.67	84.02
2022	86.80	80.23	83.53
2023	87.04	80.40	83.74
