28.Hyogo.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.71	49.53	51.56
1948	60.17	55.96	58.04
1949	61.42	57.07	59.24
1950	62.20	58.34	60.26
1951	63.63	59.72	61.67
1952	65.59	61.33	63.46
1953	66.17	62.10	64.13
1954	67.68	63.27	65.47
1955	68.72	64.17	66.44
1956	68.47	63.82	66.13
1957	68.06	63.59	65.79
1958	69.88	65.41	67.63
1959	70.49	65.66	68.04
1960	70.49	65.50	67.94
1961	71.28	66.21	68.71
1962	71.93	66.62	69.22
1963	72.75	67.44	70.06
1964	72.94	67.98	70.44
1965	73.23	68.03	70.59
1966	73.85	68.66	71.23
1967	74.40	68.98	71.65
1968	74.79	69.29	72.01
1969	75.02	69.53	72.26
1970	75.04	69.78	72.41
1971	75.81	70.46	73.13
1972	76.09	70.75	73.43
1973	75.95	70.94	73.46
1974	76.38	71.12	73.78
1975	77.03	71.86	74.48
1976	77.37	72.28	74.88
1977	78.04	72.58	75.36
1978	78.28	72.92	75.66
1979	78.69	73.34	76.08
1980	78.64	73.13	75.95
1981	78.95	73.49	76.29
1982	79.63	74.11	76.96
1983	79.61	74.05	76.91
1984	79.96	74.20	77.16
1985	80.23	74.48	77.44
1986	80.64	74.72	77.77
1987	81.18	75.35	78.37
1988	80.96	75.20	78.17
1989	81.34	75.39	78.46
1990	81.56	75.58	78.67
1991	81.70	75.72	78.81
1992	81.93	75.75	78.93
1993	82.11	75.68	78.97
1994	82.37	76.13	79.34
1995	79.93	74.03	77.06
1996	83.18	76.61	80.00
1997	83.44	76.94	80.30
1998	83.75	76.86	80.40
1999	83.84	77.12	80.58
2000	84.24	77.53	81.00
2001	84.57	77.81	81.31
2002	85.18	78.23	81.82
2003	85.13	78.22	81.79
2004	85.38	78.47	82.04
2005	85.23	78.39	81.92
2006	85.69	78.91	82.42
2007	85.81	78.99	82.51
2008	85.86	79.32	82.71
2009	86.33	79.59	83.07
2010	86.10	79.51	82.91
2011	86.33	79.76	83.15
2012	86.47	79.93	83.30
2013	86.56	80.26	83.52
2014	86.94	80.55	83.85
2015	86.94	80.89	84.04
2016	87.32	81.19	84.37
2017	87.51	81.31	84.52
2018	87.62	81.51	84.68
2019	87.80	81.74	84.88
2020	88.05	81.78	85.02
2021	87.82	81.60	84.80
2022	87.51	81.49	84.57
2023	87.59	81.68	84.71
