29.Nara.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.94	46.58	48.68
1948	57.25	53.94	55.62
1949	57.98	54.23	56.12
1950	61.19	57.52	59.35
1951	63.13	59.05	61.11
1952	64.00	60.82	62.42
1953	64.90	61.59	63.26
1954	66.45	61.96	64.20
1955	67.13	63.03	65.08
1956	66.78	63.28	65.05
1957	66.79	63.00	64.89
1958	68.87	64.68	66.77
1959	68.73	64.84	66.81
1960	69.59	64.95	67.22
1961	70.75	65.53	68.11
1962	71.17	65.98	68.55
1963	71.77	66.74	69.27
1964	72.08	68.21	70.16
1965	73.21	67.42	70.28
1966	73.23	68.46	70.86
1967	73.95	69.08	71.55
1968	73.90	69.30	71.65
1969	74.39	69.68	72.06
1970	74.52	70.20	72.39
1971	75.58	70.36	72.97
1972	76.10	71.12	73.66
1973	75.76	71.15	73.52
1974	76.02	71.51	73.84
1975	76.84	72.13	74.57
1976	77.03	72.23	74.69
1977	77.83	73.09	75.56
1978	78.13	73.57	75.96
1979	78.39	73.28	75.94
1980	78.58	73.30	76.03
1981	78.87	73.66	76.36
1982	79.64	74.02	76.93
1983	79.64	74.04	76.94
1984	80.00	74.62	77.41
1985	80.05	74.90	77.58
1986	80.65	75.15	78.00
1987	81.16	75.73	78.56
1988	81.12	75.89	78.63
1989	81.64	76.29	79.10
1990	81.92	76.14	79.15
1991	81.98	76.09	79.15
1992	82.06	76.45	79.39
1993	82.11	76.42	79.39
1994	82.64	77.03	79.97
1995	82.70	76.94	79.94
1996	83.37	77.48	80.56
1997	83.58	77.90	80.89
1998	83.87	77.71	80.91
1999	84.08	78.06	81.20
2000	84.80	78.41	81.74
2001	85.26	78.47	82.00
2002	85.41	79.05	82.38
2003	85.80	79.03	82.54
2004	85.73	79.11	82.56
2005	85.59	78.82	82.32
2006	85.86	79.67	82.91
2007	86.30	79.80	83.19
2008	86.29	79.77	83.17
2009	86.79	80.10	83.58
2010	86.53	80.07	83.42
2011	86.43	80.54	83.62
2012	86.66	80.46	83.69
2013	86.62	80.67	83.77
2014	87.03	80.86	84.09
2015	87.25	81.44	84.48
2016	87.40	81.71	84.67
2017	87.45	81.85	84.77
2018	87.55	81.96	84.89
2019	87.92	82.26	85.22
2020	88.18	82.45	85.45
2021	87.73	82.45	85.20
2022	87.39	81.74	84.65
2023	87.61	82.38	85.09
