30.Wakayama.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	54.68	50.70	52.67
1948	60.85	56.32	58.60
1949	61.47	56.88	59.18
1950	62.81	59.01	60.94
1951	65.30	61.12	63.22
1952	66.37	62.58	64.49
1953	65.29	61.39	63.34
1954	67.66	63.07	65.36
1955	68.89	64.70	66.79
1956	68.95	63.72	66.28
1957	68.95	63.90	66.37
1958	69.82	64.71	67.23
1959	70.39	66.23	68.30
1960	70.30	65.68	67.98
1961	71.41	65.98	68.66
1962	71.67	66.19	68.89
1963	72.05	66.99	69.51
1964	72.90	67.71	70.27
1965	73.43	67.56	70.44
1966	74.07	68.02	70.98
1967	74.06	68.23	71.12
1968	74.51	68.64	71.56
1969	75.22	68.98	72.08
1970	74.47	69.02	71.75
1971	75.03	69.75	72.42
1972	75.72	69.56	72.64
1973	75.92	70.04	73.00
1974	76.44	70.76	73.63
1975	76.59	71.25	73.96
1976	76.95	71.49	74.27
1977	77.28	72.14	74.78
1978	78.39	72.62	75.57
1979	78.19	72.49	75.41
1980	78.31	72.79	75.64
1981	78.66	73.07	75.95
1982	79.21	73.55	76.47
1983	79.60	72.97	76.36
1984	80.01	74.05	77.12
1985	79.87	74.02	77.05
1986	80.14	74.47	77.41
1987	80.84	74.15	77.61
1988	80.65	74.57	77.73
1989	81.62	75.00	78.43
1990	81.56	75.23	78.53
1991	81.73	75.48	78.73
1992	81.79	75.49	78.76
1993	82.43	75.33	78.99
1994	82.32	76.02	79.31
1995	82.34	75.85	79.22
1996	83.11	76.31	79.85
1997	83.30	76.70	80.15
1998	83.67	76.39	80.15
1999	83.72	76.67	80.32
2000	84.33	76.97	80.77
2001	84.30	77.24	80.90
2002	84.76	77.78	81.42
2003	85.04	77.92	81.63
2004	85.14	77.79	81.59
2005	84.85	77.93	81.50
2006	85.65	78.11	81.98
2007	85.52	78.44	82.10
2008	85.45	78.55	82.12
2009	86.04	78.76	82.50
2010	85.62	79.05	82.45
2011	85.50	79.04	82.40
2012	86.06	79.24	82.76
2013	85.92	79.57	82.86
2014	86.28	79.82	83.17
2015	86.64	80.03	83.46
2016	86.61	79.99	83.39
2017	86.76	80.23	83.59
2018	87.03	80.35	83.78
2019	87.27	80.84	84.15
2020	87.52	81.23	84.49
2021	87.32	81.04	84.28
2022	87.05	80.34	83.74
2023	86.49	80.30	83.45
