31.Tottori.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.93	49.35	51.15
1948	57.65	55.07	56.40
1949	60.60	56.22	58.45
1950	62.86	58.68	60.78
1951	64.14	60.52	62.37
1952	65.70	61.75	63.76
1953	66.71	62.58	64.67
1954	69.12	63.40	66.27
1955	69.22	64.62	66.97
1956	69.44	64.31	66.89
1957	69.15	64.46	66.83
1958	70.92	65.27	68.09
1959	71.23	65.68	68.45
1960	70.44	65.25	67.85
1961	71.36	65.94	68.65
1962	72.04	66.73	69.42
1963	72.76	66.92	69.85
1964	73.33	67.02	70.18
1965	72.78	67.26	70.04
1966	74.14	67.57	70.84
1967	74.32	68.64	71.52
1968	74.58	68.29	71.46
1969	75.00	68.39	71.76
1970	74.74	68.67	71.75
1971	75.51	69.93	72.77
1972	76.57	70.26	73.47
1973	77.62	70.61	74.15
1974	76.91	71.21	74.15
1975	77.06	71.61	74.43
1976	78.04	71.31	74.73
1977	78.23	72.26	75.34
1978	78.38	72.03	75.30
1979	79.26	73.14	76.32
1980	79.44	72.54	76.07
1981	79.46	73.46	76.59
1982	80.25	73.76	77.13
1983	80.40	73.03	76.80
1984	80.58	73.89	77.35
1985	81.19	74.52	77.98
1986	81.22	74.66	78.08
1987	81.82	75.65	78.90
1988	81.52	75.47	78.65
1989	82.40	75.86	79.31
1990	82.18	75.57	79.02
1991	82.16	75.63	79.06
1992	83.09	75.39	79.36
1993	83.12	75.23	79.29
1994	83.47	75.83	79.79
1995	83.00	75.57	79.40
1996	84.09	76.91	80.67
1997	84.09	76.45	80.41
1998	84.32	77.03	80.83
1999	84.41	77.33	81.02
2000	84.66	77.13	81.04
2001	85.41	77.65	81.68
2002	85.90	77.70	81.94
2003	85.70	77.83	81.91
2004	85.75	78.30	82.18
2005	86.20	77.60	81.99
2006	86.31	78.68	82.62
2007	86.14	78.40	82.41
2008	86.16	78.73	82.57
2009	86.74	79.13	83.06
2010	86.06	78.93	82.62
2011	86.33	79.24	82.91
2012	86.67	79.65	83.28
2013	87.06	79.39	83.30
2014	86.89	79.88	83.50
2015	87.32	80.03	83.76
2016	87.49	80.51	84.10
2017	87.34	80.25	83.88
2018	88.04	81.13	84.68
2019	87.00	81.00	84.12
2020	88.68	81.76	85.31
2021	88.10	81.28	84.77
2022	87.55	81.32	84.51
2023	87.37	80.97	84.21
