32.Shimane.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.45	49.20	50.81
1948	57.68	54.72	56.23
1949	59.24	55.94	57.59
1950	60.51	57.90	59.22
1951	63.68	60.66	62.20
1952	64.67	61.64	63.16
1953	65.01	62.07	63.56
1954	66.32	63.36	64.86
1955	68.27	64.25	66.27
1956	67.46	63.83	65.63
1957	68.28	64.14	66.19
1958	70.10	65.69	67.88
1959	70.33	66.04	68.19
1960	70.47	65.44	67.90
1961	70.78	66.16	68.45
1962	71.28	66.61	68.93
1963	71.60	66.73	69.16
1964	72.62	67.82	70.22
1965	72.64	67.17	69.89
1966	73.70	68.59	71.15
1967	74.27	68.77	71.52
1968	74.14	68.98	71.57
1969	74.73	69.06	71.91
1970	74.79	68.85	71.82
1971	75.70	70.04	72.89
1972	75.93	70.76	73.39
1973	76.45	70.78	73.66
1974	76.96	71.20	74.11
1975	77.23	71.42	74.36
1976	77.92	71.93	74.95
1977	78.26	72.30	75.32
1978	78.85	72.77	75.86
1979	79.11	73.34	76.29
1980	78.94	72.96	76.02
1981	79.90	73.89	76.97
1982	80.27	74.61	77.53
1983	80.17	73.76	77.04
1984	81.31	74.81	78.14
1985	81.42	75.63	78.63
1986	81.63	75.34	78.59
1987	82.34	75.67	79.11
1988	82.35	76.20	79.40
1989	82.73	75.91	79.42
1990	82.85	76.01	79.54
1991	83.31	76.38	79.97
1992	83.43	76.08	79.85
1993	83.74	76.55	80.26
1994	83.84	76.91	80.51
1995	83.57	76.65	80.22
1996	84.12	77.02	80.69
1997	84.50	77.25	80.99
1998	84.91	77.71	81.44
1999	84.28	76.94	80.71
2000	85.59	77.60	81.70
2001	85.84	78.15	82.13
2002	86.17	78.41	82.42
2003	86.31	77.94	82.20
2004	86.15	78.30	82.33
2005	86.37	78.27	82.40
2006	86.65	78.79	82.81
2007	86.85	78.66	82.83
2008	86.53	79.05	82.88
2009	87.10	79.38	83.32
2010	86.98	79.49	83.32
2011	87.06	79.85	83.53
2012	87.06	80.00	83.61
2013	86.89	80.00	83.53
2014	87.58	80.43	84.10
2015	87.59	80.63	84.18
2016	87.50	81.18	84.44
2017	87.80	81.16	84.55
2018	88.14	81.32	84.80
2019	88.21	81.45	84.89
2020	88.12	81.71	84.98
2021	88.33	81.79	85.11
2022	87.96	81.35	84.66
2023	88.14	81.32	84.73
