33.Okayama.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.55	49.31	51.38
1948	58.34	54.57	56.45
1949	60.82	57.33	59.07
1950	62.51	58.48	60.48
1951	64.05	60.71	62.38
1952	65.93	62.95	64.44
1953	66.48	62.87	64.66
1954	67.79	63.89	65.84
1955	69.22	65.33	67.29
1956	68.61	64.94	66.78
1957	68.95	64.21	66.53
1958	70.18	66.04	68.09
1959	70.75	66.40	68.57
1960	70.51	66.22	68.34
1961	72.06	66.97	69.49
1962	72.12	66.97	69.52
1963	72.94	68.10	70.52
1964	73.80	68.26	71.01
1965	73.72	68.46	71.07
1966	74.33	69.38	71.86
1967	74.90	69.68	72.29
1968	75.48	70.00	72.75
1969	75.47	69.96	72.70
1970	75.78	70.50	73.13
1971	76.53	70.96	73.75
1972	77.20	71.24	74.21
1973	76.95	71.33	74.15
1974	77.33	71.94	74.67
1975	77.48	72.18	74.86
1976	77.97	72.41	75.22
1977	78.80	73.27	76.08
1978	79.23	73.60	76.46
1979	79.51	74.20	76.93
1980	79.49	74.09	76.86
1981	80.04	74.29	77.24
1982	80.50	74.61	77.62
1983	80.59	74.57	77.65
1984	80.82	75.19	78.09
1985	81.32	75.22	78.35
1986	81.41	75.43	78.51
1987	82.14	76.19	79.27
1988	81.92	75.68	78.90
1989	82.36	76.34	79.46
1990	82.52	75.97	79.33
1991	82.84	76.69	79.88
1992	83.11	76.37	79.83
1993	82.96	76.71	79.95
1994	83.45	76.86	80.26
1995	83.38	76.98	80.29
1996	84.11	77.26	80.79
1997	84.43	77.48	81.07
1998	84.49	77.74	81.24
1999	84.64	77.12	80.96
2000	85.02	78.07	81.67
2001	85.58	78.12	81.96
2002	85.83	78.47	82.27
2003	85.85	78.29	82.17
2004	86.32	79.08	82.82
2005	86.05	78.88	82.57
2006	86.52	79.33	83.04
2007	86.89	79.66	83.39
2008	86.36	79.47	83.03
2009	87.14	79.99	83.69
2010	86.87	79.71	83.38
2011	86.93	79.98	83.56
2012	86.94	80.22	83.67
2013	86.78	80.38	83.67
2014	87.48	80.79	84.23
2015	87.56	80.95	84.33
2016	87.80	81.24	84.61
2017	87.93	81.55	84.83
2018	87.64	81.51	84.67
2019	88.12	81.72	85.01
2020	88.53	82.08	85.39
2021	88.27	81.93	85.17
2022	87.78	81.53	84.68
2023	87.67	81.45	84.59
