34.Hiroshima.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.99	50.32	52.11
1948	59.68	56.38	58.03
1949	61.15	57.64	59.40
1950	62.79	59.37	61.08
1951	63.63	60.57	62.11
1952	65.83	62.44	64.15
1953	66.10	62.41	64.25
1954	67.87	63.76	65.82
1955	68.82	64.29	66.55
1956	68.67	63.86	66.25
1957	68.92	63.50	66.17
1958	70.42	65.50	67.95
1959	70.86	66.00	68.41
1960	70.74	65.31	67.99
1961	71.44	66.62	69.02
1962	72.32	66.79	69.52
1963	73.04	67.48	70.24
1964	73.51	68.43	70.95
1965	73.55	68.30	70.90
1966	74.51	68.99	71.74
1967	74.40	69.27	71.83
1968	74.94	69.63	72.28
1969	75.12	69.71	72.40
1970	75.31	69.50	72.39
1971	76.03	70.52	73.28
1972	76.56	70.88	73.72
1973	76.78	70.92	73.84
1974	77.00	71.55	74.29
1975	77.23	71.95	74.62
1976	77.73	72.31	75.05
1977	78.49	72.84	75.70
1978	79.02	73.35	76.24
1979	79.24	73.55	76.45
1980	79.15	73.58	76.42
1981	79.83	73.93	76.93
1982	80.21	74.63	77.50
1983	80.08	74.70	77.47
1984	80.62	75.02	77.90
1985	80.87	74.95	77.98
1986	80.90	75.57	78.33
1987	81.78	75.84	78.90
1988	82.00	75.62	78.89
1989	82.35	76.32	79.43
1990	82.09	76.02	79.14
1991	82.42	76.34	79.48
1992	82.83	76.18	79.57
1993	82.95	76.36	79.73
1994	83.06	76.74	80.00
1995	83.32	76.36	79.91
1996	84.19	77.18	80.77
1997	84.04	77.31	80.78
1998	84.49	77.31	80.99
1999	84.47	77.22	80.92
2000	85.15	77.82	81.58
2001	85.31	78.16	81.83
2002	85.67	78.58	82.24
2003	85.55	78.63	82.21
2004	85.95	78.94	82.56
2005	86.01	78.85	82.53
2006	86.27	79.14	82.81
2007	86.43	79.45	83.05
2008	86.29	79.40	82.94
2009	86.64	79.76	83.31
2010	86.83	79.85	83.44
2011	86.82	79.97	83.49
2012	86.77	80.13	83.54
2013	87.05	80.39	83.81
2014	87.10	80.73	84.03
2015	87.35	81.06	84.31
2016	87.40	81.32	84.46
2017	87.57	81.33	84.54
2018	87.54	81.36	84.54
2019	87.84	81.72	84.87
2020	88.39	82.17	85.37
2021	88.29	81.97	85.19
2022	87.73	81.45	84.63
2023	87.58	81.45	84.54
