35.Yamaguchi.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.38	48.80	50.53
1948	58.66	55.06	56.84
1949	59.51	56.05	57.77
1950	61.73	58.15	59.92
1951	63.21	59.36	61.26
1952	65.35	61.63	63.47
1953	65.74	62.17	63.93
1954	66.66	62.65	64.62
1955	67.82	63.49	65.62
1956	67.23	63.19	65.18
1957	67.67	62.66	65.10
1958	69.39	64.23	66.75
1959	70.41	64.77	67.53
1960	70.17	64.66	67.38
1961	71.24	65.59	68.36
1962	71.43	65.97	68.65
1963	71.76	66.32	69.02
1964	72.63	67.02	69.80
1965	72.86	67.24	70.03
1966	73.33	67.85	70.59
1967	74.12	67.46	70.75
1968	74.23	68.40	71.31
1969	74.51	68.45	71.47
1970	74.92	68.66	71.78
1971	75.61	69.63	72.63
1972	75.64	69.97	72.83
1973	76.32	70.41	73.39
1974	76.55	70.53	73.57
1975	77.26	71.45	74.40
1976	77.53	71.42	74.51
1977	77.77	72.13	75.01
1978	78.55	72.46	75.58
1979	78.99	72.95	76.04
1980	78.92	72.71	75.88
1981	79.21	73.22	76.30
1982	80.15	73.69	77.00
1983	80.15	73.49	76.90
1984	80.88	74.06	77.57
1985	80.72	74.53	77.74
1986	81.42	74.63	78.14
1987	81.85	75.08	78.59
1988	81.70	75.45	78.70
1989	82.22	75.77	79.13
1990	82.16	75.52	78.96
1991	82.56	75.86	79.35
1992	82.65	75.51	79.20
1993	82.49	75.84	79.30
1994	83.17	76.34	79.91
1995	83.11	75.95	79.66
1996	83.93	76.64	80.43
1997	84.06	76.89	80.62
1998	84.02	76.45	80.37
1999	83.90	76.46	80.31
2000	84.33	77.12	80.87
2001	85.12	77.44	81.43
2002	85.11	77.91	81.67
2003	85.24	78.13	81.86
2004	85.53	78.00	81.92
2005	85.28	77.86	81.71
2006	85.69	78.26	82.12
2007	85.85	78.47	82.30
2008	86.01	78.97	82.64
2009	86.04	78.88	82.61
2010	85.96	78.99	82.61
2011	86.29	79.28	82.92
2012	86.26	79.30	82.91
2013	86.62	79.48	83.16
2014	86.81	80.29	83.69
2015	86.72	80.45	83.73
2016	86.96	80.64	83.93
2017	87.05	80.45	83.87
2018	87.16	81.05	84.24
2019	87.05	81.07	84.18
2020	87.85	81.19	84.63
2021	87.39	81.22	84.41
2022	87.22	81.09	84.24
2023	87.13	80.70	83.96
