36.Tokushima.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.82	47.98	49.38
1948	57.98	54.88	56.43
1949	59.42	56.24	57.84
1950	58.30	55.72	57.01
1951	62.60	60.01	61.31
1952	64.18	61.27	62.74
1953	64.33	61.08	62.68
1954	65.91	62.69	64.30
1955	66.87	62.94	64.89
1956	67.00	62.27	64.57
1957	66.90	62.12	64.44
1958	68.45	64.04	66.24
1959	69.97	64.86	67.40
1960	69.13	64.62	66.86
1961	69.94	65.17	67.55
1962	69.94	64.96	67.42
1963	70.76	65.18	67.95
1964	71.57	66.43	69.00
1965	71.81	66.32	69.02
1966	72.96	67.60	70.26
1967	73.62	67.84	70.71
1968	72.99	68.09	70.54
1969	73.49	68.12	70.79
1970	73.73	68.10	70.90
1971	74.72	68.43	71.55
1972	75.59	69.49	72.54
1973	75.19	69.80	72.52
1974	76.05	70.38	73.25
1975	75.72	70.76	73.31
1976	75.94	70.80	73.42
1977	77.40	71.76	74.64
1978	77.40	72.28	74.93
1979	78.09	72.59	75.41
1980	77.91	72.23	75.13
1981	79.03	72.68	75.91
1982	79.32	73.11	76.27
1983	79.28	73.62	76.55
1984	79.99	74.18	77.18
1985	80.62	74.10	77.43
1986	80.56	74.62	77.71
1987	80.96	75.17	78.19
1988	80.82	74.97	78.02
1989	81.51	75.19	78.48
1990	81.30	75.50	78.54
1991	82.44	75.70	79.21
1992	82.14	75.74	79.06
1993	82.47	76.33	79.54
1994	82.56	75.97	79.39
1995	82.58	76.00	79.42
1996	83.30	76.44	80.00
1997	83.27	76.37	79.95
1998	83.89	76.64	80.38
1999	83.84	76.60	80.33
2000	84.10	77.49	80.93
2001	84.64	77.20	81.03
2002	84.96	78.04	81.64
2003	84.92	77.64	81.39
2004	85.28	78.07	81.80
2005	85.18	78.04	81.72
2006	85.77	77.88	81.90
2007	86.12	78.72	82.54
2008	85.94	78.99	82.59
2009	86.27	79.26	82.89
2010	86.00	79.33	82.78
2011	86.07	79.02	82.64
2012	86.13	79.47	82.88
2013	86.01	79.00	82.57
2014	86.39	79.73	83.13
2015	86.76	80.24	83.58
2016	86.59	80.84	83.83
2017	86.80	80.69	83.84
2018	87.34	80.85	84.17
2019	87.14	81.36	84.35
2020	87.33	81.32	84.42
2021	87.76	81.11	84.49
2022	87.31	80.95	84.16
2023	87.00	80.97	84.02
