37.Kagawa.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	54.18	50.19	52.11
1948	59.57	55.01	57.26
1949	60.78	56.45	58.60
1950	61.24	57.68	59.42
1951	62.64	59.11	60.87
1952	64.52	61.07	62.80
1953	64.72	60.91	62.79
1954	66.22	62.90	64.56
1955	67.72	63.54	65.62
1956	67.72	63.15	65.42
1957	67.20	63.23	65.19
1958	69.44	64.48	66.92
1959	70.24	65.26	67.71
1960	70.43	65.01	67.70
1961	71.17	65.95	68.55
1962	70.97	65.80	68.38
1963	72.33	66.99	69.66
1964	72.68	67.17	69.93
1965	72.86	67.84	70.37
1966	73.78	68.12	70.93
1967	74.12	68.32	71.21
1968	74.53	68.99	71.76
1969	74.72	69.46	72.10
1970	75.07	69.40	72.26
1971	75.40	70.18	72.85
1972	76.16	70.96	73.62
1973	76.65	71.17	73.93
1974	76.40	71.28	73.89
1975	77.14	72.12	74.69
1976	77.27	72.04	74.71
1977	78.32	73.46	75.96
1978	78.62	73.06	75.91
1979	79.57	74.23	76.99
1980	79.10	74.12	76.72
1981	79.88	74.42	77.25
1982	79.87	74.81	77.44
1983	80.21	74.85	77.62
1984	80.83	75.18	78.11
1985	81.19	75.78	78.60
1986	81.24	75.70	78.59
1987	82.04	76.23	79.25
1988	81.85	75.45	78.74
1989	81.94	76.06	79.11
1990	82.03	76.12	79.19
1991	82.09	76.11	79.22
1992	82.25	76.20	79.34
1993	82.90	76.75	79.94
1994	83.02	77.22	80.25
1995	83.33	76.95	80.25
1996	83.57	77.21	80.51
1997	83.50	77.42	80.59
1998	83.97	77.33	80.75
1999	84.31	77.80	81.17
2000	84.43	77.71	81.19
2001	85.11	78.31	81.82
2002	84.90	78.82	82.00
2003	85.73	78.27	82.09
2004	85.42	79.21	82.45
2005	85.81	78.54	82.26
2006	85.93	78.88	82.50
2007	86.00	79.16	82.68
2008	86.08	79.60	82.95
2009	86.31	79.61	83.05
2010	86.27	79.64	83.05
2011	86.36	79.72	83.12
2012	86.71	80.14	83.51
2013	86.62	80.12	83.44
2014	87.10	80.37	83.79
2015	87.28	80.74	84.06
2016	87.25	81.21	84.30
2017	87.50	81.31	84.46
2018	87.42	81.20	84.37
2019	87.40	81.67	84.61
2020	87.62	81.48	84.60
2021	88.00	81.53	84.80
2022	87.42	81.25	84.35
2023	87.04	81.28	84.18
