38.Ehime.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.85	50.96	52.38
1948	60.29	56.97	58.62
1949	60.84	57.63	59.24
1950	62.59	58.99	60.79
1951	63.60	60.38	62.00
1952	66.58	62.98	64.77
1953	66.74	63.22	64.97
1954	67.66	63.56	65.60
1955	68.62	64.35	66.48
1956	68.60	64.41	66.49
1957	68.81	64.21	66.48
1958	69.95	64.91	67.40
1959	71.02	65.65	68.30
1960	70.64	65.38	67.99
1961	71.54	66.30	68.91
1962	71.65	66.32	68.98
1963	72.37	67.22	69.81
1964	73.41	67.45	70.41
1965	73.07	67.78	70.43
1966	73.41	68.33	70.88
1967	73.70	68.10	70.90
1968	74.50	68.79	71.66
1969	74.85	68.84	71.84
1970	74.74	68.59	71.68
1971	75.78	69.80	72.81
1972	76.15	69.75	72.94
1973	76.13	70.10	73.14
1974	76.43	70.68	73.60
1975	76.75	71.17	74.02
1976	77.13	71.61	74.43
1977	78.09	72.11	75.17
1978	78.69	72.75	75.79
1979	79.07	72.86	76.05
1980	79.48	73.23	76.44
1981	79.35	73.30	76.40
1982	80.16	74.03	77.19
1983	79.85	74.30	77.18
1984	80.59	74.17	77.47
1985	80.85	74.75	77.92
1986	81.07	75.21	78.26
1987	81.49	75.56	78.66
1988	81.96	75.37	78.79
1989	82.06	76.00	79.17
1990	82.03	75.78	79.04
1991	82.33	75.70	79.13
1992	82.42	76.07	79.39
1993	82.47	76.13	79.44
1994	82.91	76.35	79.77
1995	83.18	76.17	79.79
1996	83.32	76.71	80.17
1997	83.53	77.08	80.46
1998	83.74	76.79	80.41
1999	83.68	76.96	80.46
2000	84.60	77.34	81.12
2001	84.98	77.55	81.41
2002	85.51	77.90	81.83
2003	85.27	77.59	81.55
2004	85.48	78.21	81.99
2005	85.25	78.07	81.79
2006	85.68	78.35	82.15
2007	86.15	78.54	82.46
2008	85.90	79.12	82.67
2009	86.42	79.15	82.93
2010	86.41	79.08	82.86
2011	86.36	79.23	82.92
2012	86.01	79.47	82.88
2013	86.30	79.70	83.13
2014	86.47	79.91	83.32
2015	87.06	80.13	83.70
2016	86.84	80.36	83.71
2017	87.04	80.31	83.77
2018	87.12	80.92	84.13
2019	87.20	80.91	84.16
2020	87.38	81.48	84.56
2021	87.46	80.98	84.30
2022	87.07	80.98	84.10
2023	87.34	80.68	84.05
