39.Kochi.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	55.32	51.24	53.27
1948	60.80	56.41	58.58
1949	61.35	57.85	59.60
1950	62.17	58.53	60.35
1951	64.73	61.31	63.03
1952	66.33	62.52	64.43
1953	66.37	62.80	64.60
1954	68.10	63.35	65.69
1955	68.66	64.36	66.51
1956	67.94	63.18	65.53
1957	68.09	63.66	65.87
1958	70.14	64.75	67.44
1959	70.84	65.25	68.03
1960	69.84	65.48	67.66
1961	70.66	65.72	68.20
1962	71.52	65.77	68.63
1963	72.44	66.51	69.49
1964	73.34	66.64	69.99
1965	72.93	67.08	70.03
1966	73.75	67.26	70.50
1967	74.06	67.45	70.77
1968	74.35	68.01	71.17
1969	74.38	67.91	71.14
1970	74.18	67.39	70.78
1971	75.52	68.07	71.80
1972	75.63	68.15	71.90
1973	76.21	69.36	72.82
1974	76.27	69.79	73.06
1975	76.19	70.21	73.27
1976	76.50	70.40	73.53
1977	77.80	71.48	74.73
1978	78.04	72.05	75.13
1979	78.25	71.71	75.05
1980	79.28	72.10	75.75
1981	79.05	72.71	75.98
1982	79.35	72.76	76.16
1983	79.95	73.43	76.79
1984	80.49	73.67	77.18
1985	80.67	73.96	77.42
1986	81.20	74.41	77.94
1987	81.77	74.83	78.43
1988	82.13	74.60	78.47
1989	82.41	75.44	79.09
1990	82.05	75.30	78.83
1991	82.51	75.57	79.20
1992	82.29	75.73	79.17
1993	82.28	75.17	78.86
1994	83.27	76.23	79.91
1995	83.22	75.75	79.63
1996	83.66	76.45	80.23
1997	84.03	76.69	80.52
1998	84.48	76.82	80.80
1999	84.00	76.17	80.22
2000	84.51	77.21	81.02
2001	85.20	76.93	81.20
2002	85.14	77.80	81.65
2003	85.86	77.56	81.85
2004	85.31	77.61	81.61
2005	85.54	77.74	81.77
2006	86.21	78.16	82.33
2007	85.97	78.15	82.20
2008	85.83	78.80	82.48
2009	86.14	78.71	82.57
2010	86.31	78.84	82.71
2011	86.15	79.06	82.74
2012	86.57	79.06	82.91
2013	86.42	79.61	83.15
2014	86.49	80.24	83.51
2015	87.49	80.28	83.99
2016	86.96	80.15	83.67
2017	87.51	80.72	84.24
2018	87.32	80.75	84.15
2019	87.55	80.51	84.12
2020	87.84	81.16	84.61
2021	88.15	80.68	84.48
2022	87.29	80.22	83.79
2023	87.56	80.66	84.15
