40.Fukuoka.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.04	48.69	50.79
1948	59.78	55.75	57.75
1949	59.37	55.52	57.43
1950	61.27	57.68	59.46
1951	62.53	58.57	60.52
1952	64.52	60.54	62.52
1953	65.35	60.89	63.11
1954	66.71	61.33	63.97
1955	67.87	62.71	65.26
1956	67.34	62.37	64.81
1957	67.56	62.30	64.87
1958	69.56	64.05	66.78
1959	70.19	64.68	67.41
1960	70.29	64.61	67.41
1961	71.16	65.33	68.21
1962	71.20	65.57	68.36
1963	72.12	66.18	69.12
1964	72.64	67.07	69.84
1965	72.88	66.89	69.87
1966	73.59	67.97	70.78
1967	74.18	68.09	71.13
1968	74.24	68.21	71.22
1969	74.97	68.93	71.96
1970	74.96	68.83	71.91
1971	75.79	69.62	72.73
1972	75.90	70.03	73.01
1973	76.38	70.55	73.50
1974	76.83	71.01	73.97
1975	77.43	71.36	74.45
1976	77.42	71.62	74.60
1977	78.24	72.11	75.25
1978	78.59	72.55	75.66
1979	78.98	72.78	75.97
1980	78.81	72.70	75.85
1981	79.45	73.44	76.56
1982	80.09	73.72	77.02
1983	80.10	73.78	77.05
1984	80.42	73.74	77.19
1985	80.55	74.16	77.48
1986	81.12	74.52	77.95
1987	81.59	74.83	78.35
1988	81.35	75.02	78.32
1989	81.94	75.19	78.70
1990	81.86	75.21	78.67
1991	82.27	75.22	78.88
1992	82.39	75.41	79.04
1993	82.47	75.53	79.15
1994	83.11	75.96	79.69
1995	82.84	75.83	79.49
1996	83.72	76.44	80.25
1997	83.71	76.60	80.33
1998	83.78	76.58	80.34
1999	83.78	76.48	80.29
2000	84.43	77.34	81.07
2001	85.02	77.51	81.45
2002	85.18	77.64	81.60
2003	85.18	77.81	81.68
2004	85.54	78.00	81.96
2005	85.59	78.13	82.05
2006	85.67	78.50	82.28
2007	85.87	78.89	82.58
2008	86.00	78.87	82.63
2009	86.49	79.19	83.04
2010	86.40	79.21	82.99
2011	86.25	79.46	83.05
2012	86.52	79.71	83.30
2013	86.67	80.04	83.54
2014	86.92	80.32	83.82
2015	87.08	80.74	84.12
2016	87.31	80.74	84.22
2017	87.41	80.77	84.27
2018	87.53	81.03	84.46
2019	87.48	81.21	84.52
2020	87.91	81.55	84.90
2021	87.70	81.32	84.66
2022	87.18	80.88	84.15
2023	87.23	80.80	84.12
