41.Saga.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.09	45.32	47.63
1948	56.01	51.61	53.85
1949	57.61	53.34	55.51
1950	59.86	56.01	57.96
1951	60.97	57.25	59.14
1952	62.87	59.66	61.30
1953	63.90	59.92	61.93
1954	64.85	60.83	62.87
1955	66.43	62.05	64.29
1956	66.75	62.34	64.57
1957	66.77	61.62	64.21
1958	68.38	63.57	66.01
1959	69.32	63.83	66.59
1960	68.72	64.04	66.43
1961	70.28	65.07	67.71
1962	69.70	64.26	66.98
1963	71.67	65.49	68.57
1964	72.59	66.18	69.44
1965	72.32	66.52	69.47
1966	72.83	67.33	70.17
1967	73.56	66.84	70.22
1968	73.60	67.92	70.81
1969	74.31	68.35	71.38
1970	74.38	68.47	71.50
1971	75.24	69.24	72.31
1972	75.29	69.56	72.52
1973	75.77	69.49	72.69
1974	76.38	70.73	73.65
1975	76.78	71.19	74.09
1976	76.78	71.15	74.08
1977	77.71	72.08	75.02
1978	78.39	72.00	75.31
1979	79.01	73.03	76.15
1980	78.40	73.02	75.84
1981	79.30	73.13	76.32
1982	79.90	73.69	76.93
1983	79.82	73.55	76.83
1984	80.11	74.00	77.20
1985	80.96	74.35	77.80
1986	81.33	74.54	78.09
1987	81.65	75.08	78.54
1988	81.73	75.17	78.62
1989	82.12	75.36	78.92
1990	81.83	75.36	78.76
1991	82.13	75.56	79.01
1992	82.39	75.63	79.19
1993	82.52	75.87	79.38
1994	83.25	76.36	80.00
1995	82.75	75.84	79.46
1996	83.67	76.41	80.23
1997	83.35	76.61	80.17
1998	84.05	76.18	80.28
1999	84.36	76.49	80.58
2000	84.78	76.92	81.02
2001	85.31	77.20	81.43
2002	85.34	77.85	81.79
2003	85.41	77.69	81.73
2004	85.69	78.10	82.09
2005	85.77	78.19	82.15
2006	85.90	78.48	82.38
2007	85.87	78.51	82.37
2008	85.96	78.68	82.50
2009	86.61	79.23	83.09
2010	86.47	79.21	83.01
2011	86.19	79.55	83.05
2012	86.69	79.31	83.14
2013	86.60	80.05	83.50
2014	87.08	80.23	83.82
2015	86.95	80.77	84.03
2016	87.19	80.86	84.19
2017	87.24	80.98	84.26
2018	87.51	80.79	84.27
2019	87.56	81.32	84.58
2020	88.11	81.42	84.89
2021	87.68	81.55	84.75
2022	87.40	81.08	84.32
2023	87.35	80.91	84.20
