42.Nagasaki.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.68	48.62	50.62
1948	59.35	54.99	57.15
1949	59.49	55.52	57.50
1950	60.19	56.21	58.20
1951	61.28	57.61	59.45
1952	63.73	59.80	61.75
1953	63.99	60.40	62.20
1954	65.68	61.14	63.39
1955	67.27	62.64	64.95
1956	66.51	61.75	64.11
1957	65.59	61.80	63.68
1958	67.81	63.36	65.58
1959	68.97	64.20	66.58
1960	68.99	64.06	66.51
1961	70.10	64.88	67.49
1962	69.71	64.88	67.28
1963	70.55	65.33	67.94
1964	71.92	66.03	68.97
1965	71.89	65.98	68.95
1966	72.26	66.99	69.66
1967	72.45	66.70	69.59
1968	73.03	67.04	70.05
1969	73.61	67.68	70.66
1970	73.67	67.45	70.57
1971	75.16	68.89	72.07
1972	75.33	69.15	72.29
1973	75.87	69.50	72.74
1974	75.67	70.15	72.99
1975	76.54	70.75	73.73
1976	76.70	71.15	74.02
1977	77.33	71.25	74.38
1978	77.94	71.64	74.88
1979	78.21	72.22	75.34
1980	78.52	72.42	75.58
1981	78.88	72.52	75.81
1982	78.68	72.94	75.94
1983	79.68	73.34	76.65
1984	80.32	73.68	77.13
1985	80.53	73.88	77.34
1986	81.03	74.57	77.96
1987	81.53	75.22	78.55
1988	81.41	75.06	78.41
1989	81.88	75.09	78.66
1990	81.91	75.23	78.74
1991	82.12	75.01	78.74
1992	82.40	75.44	79.10
1993	82.26	75.51	79.06
1994	83.08	75.97	79.72
1995	82.54	75.77	79.34
1996	83.50	76.60	80.25
1997	83.99	76.67	80.52
1998	83.91	76.91	80.61
1999	84.27	76.63	80.62
2000	84.62	77.12	81.06
2001	85.08	77.74	81.63
2002	85.21	77.70	81.67
2003	85.06	77.77	81.62
2004	85.42	78.27	82.06
2005	85.63	77.82	81.91
2006	85.92	78.12	82.20
2007	85.90	78.44	82.36
2008	85.96	78.61	82.47
2009	86.24	79.10	82.88
2010	86.17	78.82	82.66
2011	86.24	79.16	82.87
2012	86.49	79.43	83.13
2013	86.28	79.69	83.15
2014	86.61	79.87	83.41
2015	86.94	80.46	83.88
2016	87.10	80.65	84.04
2017	86.99	80.57	83.95
2018	87.13	80.80	84.12
2019	87.43	81.01	84.37
2020	87.46	80.93	84.33
2021	87.36	81.09	84.34
2022	87.38	81.22	84.40
2023	87.01	80.48	83.82
