43.Kumamoto.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.87	49.77	51.81
1948	59.94	55.57	57.78
1949	60.61	56.37	58.52
1950	61.23	58.06	59.68
1951	62.20	59.37	60.81
1952	63.76	61.19	62.50
1953	64.61	61.79	63.22
1954	66.14	62.60	64.40
1955	68.32	63.87	66.11
1956	67.21	63.35	65.31
1957	66.98	63.32	65.16
1958	69.31	65.22	67.29
1959	70.05	65.54	67.83
1960	69.15	64.86	67.04
1961	70.37	65.94	68.20
1962	70.60	65.69	68.17
1963	71.48	65.72	68.64
1964	72.32	67.00	69.69
1965	72.19	67.01	69.63
1966	73.15	67.56	70.40
1967	73.69	68.17	70.98
1968	73.47	68.21	70.88
1969	74.16	68.82	71.55
1970	74.22	68.45	71.39
1971	75.61	69.50	72.61
1972	75.64	69.81	72.80
1973	75.68	69.81	72.81
1974	76.13	70.95	73.64
1975	76.88	71.25	74.15
1976	77.26	71.67	74.57
1977	78.04	72.61	75.44
1978	78.36	72.91	75.75
1979	78.97	73.37	76.29
1980	79.03	73.41	76.35
1981	79.70	73.92	76.94
1982	80.36	74.18	77.40
1983	80.22	74.35	77.42
1984	80.77	75.03	78.06
1985	81.16	75.16	78.31
1986	81.68	75.28	78.63
1987	82.08	75.99	79.20
1988	81.96	75.69	78.99
1989	82.47	76.14	79.48
1990	82.64	76.24	79.61
1991	82.86	76.32	79.77
1992	83.26	76.49	80.05
1993	82.95	76.58	79.94
1994	83.81	77.16	80.67
1995	83.95	77.00	80.65
1996	84.62	77.67	81.35
1997	84.58	78.13	81.57
1998	85.04	77.66	81.54
1999	84.63	77.46	81.22
2000	85.26	78.44	82.07
2001	85.60	78.80	82.42
2002	85.58	78.61	82.30
2003	85.89	78.68	82.48
2004	86.31	79.08	82.90
2005	86.11	79.08	82.79
2006	86.50	79.25	83.06
2007	86.42	79.66	83.24
2008	86.41	79.50	83.14
2009	87.05	80.23	83.84
2010	86.86	80.21	83.73
2011	86.65	80.29	83.65
2012	86.88	80.18	83.69
2013	87.21	80.92	84.24
2014	87.37	81.02	84.36
2015	87.54	81.18	84.53
2016	87.36	81.33	84.50
2017	87.56	81.63	84.74
2018	87.97	81.89	85.08
2019	87.99	81.75	85.01
2020	88.51	81.96	85.37
2021	88.19	81.98	85.21
2022	87.43	81.33	84.47
2023	87.71	81.55	84.71
