44.Oita.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	50.33	46.78	48.52
1948	56.46	53.37	54.92
1949	56.76	53.85	55.30
1950	58.88	56.30	57.60
1951	60.34	57.82	59.10
1952	62.28	60.06	61.18
1953	63.38	60.91	62.17
1954	64.25	61.41	62.83
1955	66.76	62.78	64.77
1956	65.98	62.39	64.17
1957	66.47	62.94	64.70
1958	67.89	63.93	65.93
1959	69.16	64.63	66.91
1960	68.90	64.22	66.57
1961	69.66	64.73	67.19
1962	70.12	65.21	67.67
1963	71.18	66.43	68.84
1964	72.00	66.52	69.28
1965	71.74	66.70	69.28
1966	72.44	67.45	69.99
1967	73.51	68.21	70.90
1968	73.48	68.15	70.86
1969	74.69	68.70	71.72
1970	73.73	68.52	71.17
1971	75.13	69.36	72.33
1972	75.26	69.34	72.36
1973	75.42	70.05	72.80
1974	76.12	70.81	73.55
1975	76.65	70.74	73.77
1976	76.90	71.33	74.18
1977	77.56	71.81	74.75
1978	77.83	72.09	75.04
1979	78.37	73.34	75.96
1980	78.31	72.93	75.72
1981	78.58	73.23	76.02
1982	79.66	73.95	76.92
1983	79.66	73.86	76.87
1984	80.36	74.36	77.48
1985	80.27	74.93	77.74
1986	80.61	75.00	77.95
1987	81.29	75.23	78.41
1988	81.14	75.68	78.56
1989	81.76	76.10	79.08
1990	81.85	75.68	78.91
1991	82.08	76.10	79.25
1992	82.19	75.88	79.19
1993	82.58	76.46	79.68
1994	83.12	76.87	80.16
1995	83.14	76.56	80.00
1996	84.02	76.98	80.65
1997	83.96	77.30	80.79
1998	84.20	77.26	80.88
1999	84.12	77.40	80.91
2000	84.64	77.61	81.28
2001	84.91	78.57	81.93
2002	85.26	78.39	82.00
2003	85.51	78.44	82.14
2004	85.64	78.57	82.27
2005	85.88	78.82	82.51
2006	86.18	79.34	82.93
2007	86.36	79.69	83.21
2008	86.03	79.77	83.08
2009	86.83	79.58	83.37
2010	86.79	80.00	83.55
2011	86.49	79.79	83.28
2012	86.53	80.03	83.42
2013	86.97	80.42	83.84
2014	87.05	80.82	84.09
2015	87.30	81.21	84.41
2016	87.46	81.03	84.39
2017	87.65	81.30	84.63
2018	87.78	81.59	84.83
2019	87.86	81.91	85.03
2020	88.37	81.84	85.22
2021	87.77	81.92	84.97
2022	87.57	81.51	84.64
2023	87.37	81.37	84.46
