45.Miyazaki.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	53.01	49.69	51.34
1948	59.27	55.69	57.48
1949	59.44	55.79	57.59
1950	60.43	56.48	58.43
1951	61.53	58.24	59.87
1952	63.74	60.70	62.20
1953	64.25	61.08	62.63
1954	64.68	61.51	63.08
1955	66.64	63.34	64.97
1956	67.24	63.40	65.30
1957	67.18	62.62	64.86
1958	69.44	64.85	67.11
1959	69.24	65.23	67.22
1960	69.85	65.27	67.52
1961	70.61	65.58	68.07
1962	70.42	65.58	67.97
1963	71.36	66.56	68.95
1964	72.22	66.92	69.55
1965	71.80	66.60	69.19
1966	73.28	67.45	70.37
1967	73.46	67.53	70.50
1968	73.46	67.93	70.70
1969	74.26	68.00	71.16
1970	74.09	67.67	70.88
1971	74.78	69.10	72.01
1972	75.58	69.59	72.63
1973	75.74	69.51	72.68
1974	76.36	70.42	73.46
1975	76.65	70.57	73.68
1976	76.81	71.09	74.03
1977	77.20	71.74	74.56
1978	78.10	72.08	75.18
1979	78.56	72.70	75.73
1980	78.72	72.24	75.58
1981	78.88	73.26	76.18
1982	79.57	73.10	76.44
1983	79.40	73.10	76.36
1984	80.14	74.08	77.25
1985	80.68	74.36	77.66
1986	81.12	74.55	77.98
1987	81.38	75.17	78.44
1988	81.40	75.25	78.49
1989	81.99	75.26	78.79
1990	82.16	75.17	78.82
1991	82.34	75.91	79.30
1992	82.71	75.52	79.27
1993	82.52	76.32	79.61
1994	83.45	76.28	80.04
1995	83.12	76.19	79.82
1996	84.03	77.04	80.73
1997	84.03	76.67	80.52
1998	84.42	76.89	80.83
1999	84.55	76.89	80.89
2000	85.00	77.55	81.47
2001	85.00	77.70	81.56
2002	85.57	78.21	82.11
2003	85.61	78.02	82.01
2004	86.16	78.32	82.43
2005	85.76	78.53	82.34
2006	85.95	78.83	82.58
2007	86.18	78.97	82.75
2008	86.01	79.03	82.70
2009	86.33	79.47	83.07
2010	86.52	79.64	83.25
2011	86.55	79.21	83.01
2012	86.65	79.83	83.39
2013	86.85	79.88	83.51
2014	87.25	80.16	83.83
2015	87.03	80.49	83.90
2016	87.12	80.32	83.83
2017	87.59	80.75	84.28
2018	87.11	81.18	84.27
2019	87.70	81.31	84.63
2020	87.48	81.09	84.39
2021	87.58	81.06	84.42
2022	86.97	80.41	83.74
2023	86.84	80.22	83.56
