46.Kagoshima.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1947	52.69	48.06	50.42
1948	58.69	54.09	56.46
1949	59.91	55.71	57.89
1950	60.59	56.52	58.64
1951	62.46	58.76	60.69
1952	65.60	62.19	63.97
1953	66.08	62.64	64.44
1954	65.80	62.02	63.97
1955	67.62	63.57	65.67
1956	67.18	63.42	65.38
1957	68.08	63.54	65.87
1958	69.40	64.96	67.25
1959	69.82	65.16	67.57
1960	69.89	65.02	67.53
1961	70.59	66.24	68.49
1962	70.97	66.15	68.63
1963	71.86	66.83	69.43
1964	72.64	67.49	70.15
1965	72.31	66.99	69.73
1966	72.90	67.63	70.35
1967	73.60	67.81	70.82
1968	73.58	67.68	70.72
1969	73.94	67.76	70.95
1970	74.08	67.58	70.91
1971	74.83	68.70	71.88
1972	75.57	69.16	72.48
1973	75.21	69.65	72.56
1974	76.10	70.24	73.30
1975	76.34	70.41	73.52
1976	76.68	70.76	73.87
1977	77.28	71.29	74.43
1978	78.06	71.72	75.03
1979	78.20	72.08	75.29
1980	78.23	72.28	75.41
1981	78.52	73.07	75.96
1982	79.57	73.46	76.68
1983	79.35	73.17	76.41
1984	79.84	73.62	76.90
1985	80.02	74.03	77.19
1986	80.69	74.52	77.78
1987	81.14	75.02	78.26
1988	80.93	74.54	77.91
1989	81.98	75.27	78.81
1990	81.80	75.50	78.85
1991	82.21	75.37	78.98
1992	82.38	75.97	79.38
1993	82.55	75.65	79.30
1994	83.25	76.14	79.89
1995	82.72	75.85	79.47
1996	83.64	76.40	80.22
1997	83.78	76.85	80.53
1998	83.96	76.86	80.62
1999	84.01	76.41	80.38
2000	84.77	77.19	81.17
2001	84.84	77.26	81.25
2002	85.02	77.64	81.54
2003	85.31	77.72	81.71
2004	85.46	77.86	81.85
2005	85.44	77.82	81.79
2006	85.84	78.13	82.14
2007	85.59	78.39	82.17
2008	85.81	78.75	82.45
2009	86.12	79.28	82.87
2010	86.20	79.16	82.83
2011	85.87	79.13	82.64
2012	86.23	79.34	82.91
2013	86.45	79.61	83.14
2014	86.55	79.66	83.22
2015	86.81	80.15	83.59
2016	86.89	80.19	83.65
2017	87.22	80.59	84.01
2018	87.25	80.49	83.96
2019	87.37	80.73	84.14
2020	87.60	80.97	84.38
2021	87.67	81.19	84.50
2022	87.08	80.48	83.81
2023	87.01	80.63	83.85
