47.Okinawa.ken, Life expectancy at birth (period, 1x1) Last modified:2025-04-30, ver.005_001 JMD(IPSS)

Year	Female	Male	Total
1973	77.47	71.01	74.47
1974	77.99	72.17	75.32
1975	78.29	71.64	75.21
1976	79.60	72.49	76.27
1977	79.81	73.30	76.81
1978	80.84	74.02	77.69
1979	81.52	74.51	78.28
1980	81.35	74.30	78.08
1981	81.76	74.75	78.55
1982	82.45	75.22	79.11
1983	82.08	75.33	78.96
1984	82.86	76.08	79.75
1985	83.82	76.49	80.45
1986	83.26	76.15	79.99
1987	83.86	76.83	80.59
1988	84.15	77.07	80.85
1989	84.89	76.76	81.08
1990	83.76	76.10	80.16
1991	84.36	77.08	80.98
1992	84.20	76.66	80.67
1993	84.11	76.52	80.53
1994	84.48	77.38	81.15
1995	84.76	76.64	80.88
1996	85.28	77.46	81.60
1997	85.14	77.29	81.41
1998	85.14	77.34	81.44
1999	85.51	77.34	81.58
2000	86.11	77.22	81.80
2001	85.91	77.93	82.08
2002	86.48	78.50	82.66
2003	86.46	78.43	82.59
2004	86.90	78.17	82.64
2005	86.33	78.67	82.65
2006	86.63	78.83	82.84
2007	86.86	78.89	82.98
2008	87.40	78.94	83.24
2009	87.22	78.91	83.09
2010	86.99	79.34	83.24
2011	86.90	79.04	83.00
2012	87.38	79.75	83.60
2013	87.25	79.97	83.65
2014	87.18	79.92	83.56
2015	87.53	80.35	83.95
2016	87.67	80.30	83.97
2017	87.84	80.35	84.06
2018	87.63	81.01	84.32
2019	87.92	80.66	84.26
2020	88.17	80.92	84.52
2021	87.60	80.50	83.99
2022	86.78	79.91	83.26
2023	87.07	79.94	83.39
