Variable1	Valor1	Variable2	Valor2	Variable3	Valor3	Variable4	Valor4	Variable5	Valor5	PERIOD	VALUE
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2024	84.009718
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2023	83.774459
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2022	83.080876
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2021	83.025778
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2020	82.283645
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2019	83.533503
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2018	83.150685
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2017	83.054179
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2016	83.078504
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2015	82.673280
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2014	82.906200
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2013	82.770819
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2012	82.262408
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2011	82.250433
Type of data	Base data	Sex	Total	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2010	82.067939
