Variable1	Valor1	Variable2	Valor2	Variable3	Valor3	Variable4	Valor4	Variable5	Valor5	PERIOD	VALUE
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2024	86.528421
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2023	86.339057
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2022	85.735847
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2021	85.807239
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2020	85.035269
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2019	86.194771
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2018	85.827440
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2017	85.707669
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2016	85.818135
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2015	85.394006
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2014	85.631136
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2013	85.534791
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2012	85.101808
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2011	85.131491
Type of data	Base data	Sex	Females	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2010	85.027070
