Variable1	Valor1	Variable2	Valor2	Variable3	Valor3	Variable4	Valor4	Variable5	Valor5	PERIOD	VALUE
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2024	81.384766
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2023	81.112008
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2022	80.363030
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2021	80.195135
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2020	79.517027
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2019	80.783108
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2018	80.398753
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2017	80.321801
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2016	80.264826
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2015	79.889368
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2014	80.095819
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2013	79.923813
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2012	79.364178
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2011	79.301966
Type of data	Base data	Sex	Males	Demographic Concepts	Life Expectancy	National Total	National Total	Simple age	0 years old	2010	79.047190
