Provinces	Sex	Period	Total
02 Albacete	Both genders	2024	83.66
02 Albacete	Both genders	2023	83.61
02 Albacete	Both genders	2022	82.99
02 Albacete	Both genders	2021	83.21
02 Albacete	Both genders	2020	81.36
02 Albacete	Both genders	2019	83.31
02 Albacete	Both genders	2018	83.36
02 Albacete	Both genders	2017	83.47
02 Albacete	Both genders	2016	83.14
02 Albacete	Both genders	2015	82.87
02 Albacete	Both genders	2014	82.66
02 Albacete	Both genders	2013	82.84
02 Albacete	Both genders	2012	82.65
02 Albacete	Both genders	2011	82.43
02 Albacete	Both genders	2010	82.65
02 Albacete	Both genders	2009	81.81
02 Albacete	Both genders	2008	81.84
02 Albacete	Both genders	2007	81.58
02 Albacete	Both genders	2006	81.55
02 Albacete	Both genders	2005	80.87
02 Albacete	Both genders	2004	81.11
02 Albacete	Both genders	2003	80.20
02 Albacete	Both genders	2002	80.62
02 Albacete	Both genders	2001	80.37
02 Albacete	Both genders	2000	79.94
02 Albacete	Both genders	1999	80.09
02 Albacete	Both genders	1998	79.13
02 Albacete	Both genders	1997	79.46
02 Albacete	Both genders	1996	78.88
02 Albacete	Both genders	1995	79.18
02 Albacete	Both genders	1994	78.44
02 Albacete	Both genders	1993	77.69
02 Albacete	Both genders	1992	78.03
02 Albacete	Both genders	1991	77.62
02 Albacete	Both genders	1990	78.33
02 Albacete	Both genders	1989	77.32
02 Albacete	Both genders	1988	77.38
02 Albacete	Both genders	1987	77.23
02 Albacete	Both genders	1986	76.84
02 Albacete	Both genders	1985	76.46
02 Albacete	Both genders	1984	76.55
02 Albacete	Both genders	1983	75.95
02 Albacete	Both genders	1982	76.27
02 Albacete	Both genders	1981	75.53
02 Albacete	Both genders	1980	75.38
02 Albacete	Both genders	1979	74.55
02 Albacete	Both genders	1978	74.34
02 Albacete	Both genders	1977	73.80
02 Albacete	Both genders	1976	73.64
02 Albacete	Both genders	1975	73.13
02 Albacete	Males	2024	81.10
02 Albacete	Males	2023	81.13
02 Albacete	Males	2022	80.30
02 Albacete	Males	2021	80.51
02 Albacete	Males	2020	78.93
02 Albacete	Males	2019	80.86
02 Albacete	Males	2018	80.83
02 Albacete	Males	2017	81.05
02 Albacete	Males	2016	80.71
02 Albacete	Males	2015	80.44
02 Albacete	Males	2014	79.82
02 Albacete	Males	2013	80.56
02 Albacete	Males	2012	80.16
02 Albacete	Males	2011	80.00
02 Albacete	Males	2010	80.28
02 Albacete	Males	2009	78.97
