Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.007062	100,000	706	99,442	7,495,074	75.0
1–2	0.000907	99,294	90	99,249	7,395,632	74.5
2–3	0.000681	99,204	68	99,170	7,296,383	73.5
3–4	0.000669	99,136	66	99,103	7,197,213	72.6
4–5	0.000396	99,070	39	99,050	7,098,110	71.6
5–6	0.000349	99,031	35	99,013	6,999,060	70.7
6–7	0.000287	98,996	28	98,982	6,900,046	69.7
7–8	0.000233	98,968	23	98,956	6,801,064	68.7
8–9	0.000174	98,945	17	98,936	6,702,108	67.7
9–10	0.000113	98,927	11	98,922	6,603,172	66.7
10–11	0.000063	98,916	6	98,913	6,504,250	65.8
11–12	0.000049	98,910	5	98,908	6,405,337	64.8
12–13	0.000100	98,905	10	98,900	6,306,429	63.8
13–14	0.000232	98,895	23	98,884	6,207,529	62.8
14–15	0.000423	98,872	42	98,851	6,108,645	61.8
15–16	0.000649	98,830	64	98,798	6,009,794	60.8
16–17	0.000864	98,766	85	98,724	5,910,996	59.8
17–18	0.001038	98,681	102	98,630	5,812,272	58.9
18–19	0.001145	98,579	113	98,522	5,713,642	58.0
19–20	0.001203	98,466	118	98,407	5,615,120	57.0
20–21	0.001261	98,347	124	98,285	5,516,713	56.1
21–22	0.001337	98,223	131	98,158	5,418,428	55.2
22–23	0.001406	98,092	138	98,023	5,320,270	54.2
23–24	0.001466	97,954	144	97,882	5,222,247	53.3
24–25	0.001524	97,811	149	97,736	5,124,365	52.4
25–26	0.001565	97,661	153	97,585	5,026,629	51.5
26–27	0.001620	97,509	158	97,430	4,929,044	50.5
27–28	0.001737	97,351	169	97,266	4,831,614	49.6
28–29	0.001944	97,181	189	97,087	4,734,348	48.7
29–30	0.002229	96,993	216	96,885	4,637,261	47.8
30–31	0.002567	96,776	248	96,652	4,540,377	46.9
31–32	0.002904	96,528	280	96,388	4,443,724	46.0
32–33	0.003203	96,248	308	96,094	4,347,337	45.2
33–34	0.003413	95,939	327	95,776	4,251,243	44.3
34–35	0.003549	95,612	339	95,442	4,155,467	43.5
35–36	0.003681	95,273	351	95,097	4,060,025	42.6
36–37	0.003838	94,922	364	94,740	3,964,927	41.8
37–38	0.003982	94,558	377	94,369	3,870,188	40.9
38–39	0.004115	94,181	388	93,987	3,775,818	40.1
39–40	0.004252	93,794	399	93,594	3,681,831	39.3
40–41	0.004391	93,395	410	93,190	3,588,237	38.4
41–42	0.004558	92,985	424	92,773	3,495,047	37.6
42–43	0.004795	92,561	444	92,339	3,402,274	36.8
43–44	0.005121	92,117	472	91,881	3,309,935	35.9
