Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.008649	100,000	865	99,331	6,864,446	68.6
1–2	0.001063	99,135	105	99,082	6,765,116	68.2
2–3	0.000626	99,030	62	98,999	6,666,033	67.3
3–4	0.000274	98,968	27	98,954	6,567,034	66.4
4–5	0.000540	98,941	53	98,914	6,468,080	65.4
5–6	0.000265	98,887	26	98,874	6,369,166	64.4
6–7	0.000224	98,861	22	98,850	6,270,292	63.4
7–8	0.000206	98,839	20	98,829	6,171,442	62.4
8–9	0.000204	98,818	20	98,808	6,072,614	61.5
9–10	0.000217	98,798	21	98,788	5,973,805	60.5
10–11	0.000252	98,777	25	98,764	5,875,018	59.5
11–12	0.000320	98,752	32	98,736	5,776,253	58.5
12–13	0.000438	98,720	43	98,699	5,677,517	57.5
13–14	0.000611	98,677	60	98,647	5,578,818	56.5
14–15	0.000828	98,617	82	98,576	5,480,171	55.6
15–16	0.001076	98,535	106	98,482	5,381,595	54.6
16–17	0.001327	98,429	131	98,364	5,283,113	53.7
17–18	0.001557	98,299	153	98,222	5,184,749	52.7
18–19	0.001748	98,146	172	98,060	5,086,527	51.8
19–20	0.001915	97,974	188	97,880	4,988,468	50.9
20–21	0.002081	97,786	203	97,685	4,890,587	50.0
21–22	0.002269	97,583	221	97,472	4,792,903	49.1
22–23	0.002477	97,362	241	97,241	4,695,431	48.2
23–24	0.002705	97,120	263	96,989	4,598,190	47.3
24–25	0.002935	96,858	284	96,716	4,501,201	46.5
25–26	0.003144	96,573	304	96,422	4,404,485	45.6
26–27	0.003342	96,270	322	96,109	4,308,063	44.7
27–28	0.003567	95,948	342	95,777	4,211,955	43.9
28–29	0.003845	95,606	368	95,422	4,116,178	43.1
29–30	0.004179	95,238	398	95,039	4,020,756	42.2
30–31	0.004564	94,840	433	94,624	3,925,716	41.4
31–32	0.004953	94,407	468	94,174	3,831,092	40.6
32–33	0.005296	93,940	497	93,691	3,736,919	39.8
33–34	0.005539	93,442	518	93,184	3,643,228	39.0
34–35	0.005695	92,925	529	92,660	3,550,044	38.2
35–36	0.005853	92,396	541	92,125	3,457,384	37.4
36–37	0.006039	91,855	555	91,577	3,365,259	36.6
37–38	0.006197	91,300	566	91,017	3,273,681	35.9
38–39	0.006323	90,734	574	90,448	3,182,664	35.1
39–40	0.006442	90,161	581	89,870	3,092,216	34.3
40–41	0.006554	89,580	587	89,286	3,002,346	33.5
41–42	0.006720	88,993	598	88,694	2,913,060	32.7
42–43	0.007029	88,395	621	88,084	2,824,366	32.0
43–44	0.007526	87,773	661	87,443	2,736,282	31.2
44–45	0.008164	87,113	711	86,757	2,648,839	30.4
45–46	0.008853	86,402	765	86,019	2,562,082	29.7
46–47	0.009544	85,637	817	85,228	2,476,063	28.9
