Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.007871	100,000	787	99,385	7,175,096	71.8
1–2	0.000989	99,213	98	99,164	7,075,711	71.3
2–3	0.000657	99,115	65	99,082	6,976,547	70.4
3–4	0.000476	99,050	47	99,026	6,877,465	69.4
4–5	0.000469	99,003	46	98,979	6,778,439	68.5
5–6	0.000309	98,956	31	98,941	6,679,460	67.5
6–7	0.000257	98,925	25	98,913	6,580,519	66.5
7–8	0.000221	98,900	22	98,889	6,481,606	65.5
8–9	0.000190	98,878	19	98,869	6,382,717	64.6
9–10	0.000166	98,859	16	98,851	6,283,848	63.6
10–11	0.000158	98,843	16	98,835	6,184,997	62.6
11–12	0.000184	98,827	18	98,818	6,086,162	61.6
12–13	0.000268	98,809	26	98,796	5,987,343	60.6
13–14	0.000419	98,783	41	98,762	5,888,547	59.6
14–15	0.000622	98,741	61	98,711	5,789,785	58.6
15–16	0.000858	98,680	85	98,638	5,691,075	57.7
16–17	0.001090	98,595	107	98,542	5,592,437	56.7
17–18	0.001291	98,488	127	98,424	5,493,895	55.8
18–19	0.001440	98,361	142	98,290	5,395,471	54.9
19–20	0.001552	98,219	152	98,143	5,297,181	53.9
20–21	0.001664	98,066	163	97,985	5,199,039	53.0
21–22	0.001796	97,903	176	97,815	5,101,054	52.1
22–23	0.001936	97,728	189	97,633	5,003,238	51.2
23–24	0.002083	97,538	203	97,437	4,905,605	50.3
24–25	0.002233	97,335	217	97,226	4,808,169	49.4
25–26	0.002365	97,118	230	97,003	4,710,942	48.5
26–27	0.002497	96,888	242	96,767	4,613,939	47.6
27–28	0.002671	96,646	258	96,517	4,517,172	46.7
28–29	0.002916	96,388	281	96,248	4,420,655	45.9
29–30	0.003225	96,107	310	95,952	4,324,407	45.0
30–31	0.003587	95,797	344	95,625	4,228,455	44.1
31–32	0.003950	95,453	377	95,265	4,132,830	43.3
32–33	0.004268	95,076	406	94,873	4,037,565	42.5
33–34	0.004490	94,671	425	94,458	3,942,692	41.6
34–35	0.004630	94,245	436	94,027	3,848,233	40.8
35–36	0.004767	93,809	447	93,585	3,754,206	40.0
36–37	0.004933	93,362	461	93,132	3,660,621	39.2
37–38	0.005078	92,901	472	92,665	3,567,489	38.4
38–39	0.005206	92,430	481	92,189	3,474,824	37.6
39–40	0.005336	91,948	491	91,703	3,382,635	36.8
40–41	0.005463	91,458	500	91,208	3,290,932	36.0
41–42	0.005631	90,958	512	90,702	3,199,724	35.2
42–43	0.005904	90,446	534	90,179	3,109,022	34.4
43–44	0.006312	89,912	568	89,628	3,018,843	33.6
44–45	0.006819	89,344	609	89,040	2,929,215	32.8
45–46	0.007356	88,735	653	88,409	2,840,175	32.0
46–47	0.007894	88,082	695	87,735	2,751,766	31.2
47–48	0.008456	87,387	739	87,018	2,664,031	30.5
48–49	0.009044	86,648	784	86,256	2,577,013	29.7
49–50	0.009655	85,865	829	85,450	2,490,757	29.0
50–51	0.010299	85,036	876	84,598	2,405,307	28.3
51–52	0.010947	84,160	921	83,699	2,320,709	27.6
52–53	0.011548	83,238	961	82,758	2,237,010	26.9
53–54	0.012062	82,277	992	81,781	2,154,252	26.2
54–55	0.012506	81,285	1,017	80,777	2,072,471	25.5
55–56	0.012899	80,268	1,035	79,751	1,991,695	24.8
56–57	0.013313	79,233	1,055	78,705	1,911,944	24.1
57–58	0.013815	78,178	1,080	77,638	1,833,239	23.4
58–59	0.014466	77,098	1,115	76,540	1,755,601	22.8
59–60	0.015253	75,983	1,159	75,403	1,679,060	22.1
60–61	0.016116	74,824	1,206	74,221	1,603,657	21.4
61–62	0.016989	73,618	1,251	72,993	1,529,436	20.8
62–63	0.017881	72,367	1,294	71,720	1,456,443	20.1
63–64	0.018772	71,073	1,334	70,406	1,384,723	19.5
64–65	0.019685	69,739	1,373	69,053	1,314,317	18.8
65–66	0.020684	68,366	1,414	67,659	1,245,264	18.2
66–67	0.021800	66,952	1,460	66,222	1,177,605	17.6
67–68	0.022992	65,493	1,506	64,740	1,111,383	17.0
68–69	0.024240	63,987	1,551	63,211	1,046,643	16.4
69–70	0.025543	62,436	1,595	61,638	983,432	15.8
70–71	0.026959	60,841	1,640	60,021	921,793	15.2
71–72	0.028511	59,201	1,688	58,357	861,773	14.6
72–73	0.030165	57,513	1,735	56,645	803,416	14.0
73–74	0.031949	55,778	1,782	54,887	746,770	13.4
74–75	0.033938	53,996	1,833	53,080	691,883	12.8
75–76	0.036136	52,163	1,885	51,221	638,804	12.2
76–77	0.038684	50,278	1,945	49,306	587,583	11.7
77–78	0.041817	48,334	2,021	47,323	538,277	11.1
78–79	0.045653	46,312	2,114	45,255	490,954	10.6
79–80	0.050091	44,198	2,214	43,091	445,698	10.1
80–81	0.055028	41,984	2,310	40,829	402,607	9.6
81–82	0.059921	39,674	2,377	38,485	361,778	9.1
82–83	0.064717	37,297	2,414	36,090	323,293	8.7
83–84	0.069436	34,883	2,422	33,672	287,203	8.2
84–85	0.074300	32,461	2,412	31,255	253,532	7.8
85–86	0.080514	30,049	2,419	28,839	222,277	7.4
86–87	0.086669	27,630	2,395	26,432	193,438	7.0
87–88	0.094191	25,235	2,377	24,046	167,005	6.6
88–89	0.102228	22,858	2,337	21,690	142,959	6.3
89–90	0.110790	20,521	2,274	19,385	121,269	5.9
90–91	0.119880	18,248	2,188	17,154	101,885	5.6
91–92	0.129495	16,060	2,080	15,020	84,731	5.3
92–93	0.139627	13,980	1,952	13,004	69,710	5.0
93–94	0.150258	12,028	1,807	11,125	56,706	4.7
94–95	0.161361	10,221	1,649	9,396	45,581	4.5
95–96	0.172901	8,572	1,482	7,831	36,185	4.2
96–97	0.184835	7,090	1,310	6,434	28,354	4.0
97–98	0.197108	5,779	1,139	5,210	21,920	3.8
98–99	0.209657	4,640	973	4,154	16,710	3.6
99–100	0.222411	3,667	816	3,259	12,556	3.4
100–over	1.000000	2,852	2,852	9,297	9,297	3.3
