Age	Probability_of_dying_between_ages_x_and_x_next	Number_surviving_to_age	Number_dying_between_ages_x_and_x_next	Person-years_lived_between_ages_x_and_x_next	Total_number_of_person-years_lived_above_age_x	Life_expectation_at_age_x
0–1	0.003626	100,000	363	99,676	8,345,527	83.5
1–2	0.000165	99,637	16	99,629	8,245,851	82.8
2–3	0.000171	99,621	17	99,612	8,146,221	81.8
3–4	0.000129	99,604	13	99,597	8,046,609	80.8
4–5	0.000156	99,591	16	99,583	7,947,012	79.8
5–6	0.000112	99,576	11	99,570	7,847,428	78.8
6–7	0.000103	99,564	10	99,559	7,747,858	77.8
7–8	0.000093	99,554	9	99,549	7,648,299	76.8
8–9	0.000082	99,545	8	99,541	7,548,750	75.8
9–10	0.000069	99,537	7	99,533	7,449,209	74.8
10–11	0.000060	99,530	6	99,527	7,349,676	73.8
11–12	0.000059	99,524	6	99,521	7,250,149	72.8
12–13	0.000077	99,518	8	99,514	7,150,628	71.9
13–14	0.000117	99,510	12	99,504	7,051,114	70.9
14–15	0.000172	99,499	17	99,490	6,951,609	69.9
15–16	0.000236	99,482	23	99,470	6,852,119	68.9
16–17	0.000296	99,458	29	99,443	6,752,649	67.9
17–18	0.000352	99,429	35	99,411	6,653,206	66.9
18–19	0.000397	99,394	40	99,374	6,553,795	65.9
19–20	0.000434	99,354	43	99,333	6,454,421	65.0
20–21	0.000469	99,311	47	99,288	6,355,088	64.0
21–22	0.000503	99,264	50	99,239	6,255,801	63.0
22–23	0.000529	99,214	52	99,188	6,156,561	62.1
23–24	0.000543	99,162	54	99,135	6,057,373	61.1
24–25	0.000551	99,108	55	99,081	5,958,238	60.1
25–26	0.000555	99,053	55	99,026	5,859,157	59.2
26–27	0.000560	98,999	55	98,971	5,760,131	58.2
27–28	0.000568	98,943	56	98,915	5,661,160	57.2
28–29	0.000583	98,887	58	98,858	5,562,245	56.2
29–30	0.000603	98,829	60	98,799	5,463,387	55.3
30–31	0.000625	98,770	62	98,739	5,364,588	54.3
31–32	0.000646	98,708	64	98,676	5,265,849	53.3
32–33	0.000666	98,644	66	98,611	5,167,173	52.4
33–34	0.000684	98,578	67	98,545	5,068,562	51.4
34–35	0.000701	98,511	69	98,476	4,970,017	50.5
35–36	0.000723	98,442	71	98,406	4,871,541	49.5
36–37	0.000751	98,371	74	98,334	4,773,135	48.5
37–38	0.000778	98,297	76	98,259	4,674,801	47.6
38–39	0.000804	98,220	79	98,181	4,576,542	46.6
39–40	0.000833	98,141	82	98,100	4,478,362	45.6
40–41	0.000866	98,060	85	98,017	4,380,261	44.7
41–42	0.000913	97,975	89	97,930	4,282,244	43.7
42–43	0.000992	97,885	97	97,837	4,184,314	42.7
43–44	0.001107	97,788	108	97,734	4,086,477	41.8
44–45	0.001248	97,680	122	97,619	3,988,743	40.8
45–46	0.001401	97,558	137	97,490	3,891,124	39.9
46–47	0.001556	97,421	152	97,345	3,793,635	38.9
47–48	0.001716	97,270	167	97,186	3,696,289	38.0
48–49	0.001889	97,103	183	97,011	3,599,103	37.1
